"Reaction Abbreviation","Reaction Name","Reaction","Gene-reaction association","locusTags","Subsystem","Reversible","LB","UB","Objective"
"CITtex","citrate transport via diffusion extracellular to periplasm "," cit[e] <==>  cit[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CLPNH120pp","cardiolipin hydrolase periplasm n C120 ","[p] : clpn120 + h2o -->  h + pa120 + pg120",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNH140pp","cardiolipin hydrolase periplasm n C140 ","[p] : clpn140 + h2o -->  h + pa140 + pg140",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNH141pp","cardiolipin hydrolase periplasm n C141 ","[p] : clpn141 + h2o -->  h + pa141 + pg141",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNH160pp","cardiolipin hydrolase periplasm n C160 ","[p] : clpn160 + h2o -->  h + pa160 + pg160",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNH161pp","cardiolipin hydro+B2078lase periplasm n C161 ","[p] : clpn161 + h2o -->  h + pa161 + pg161",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNH180pp","cardiolipin hydrolase periplasm n C180 ","[p] : clpn180 + h2o -->  h + pa180 + pg180",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNH181pp","cardiolipin hydrolase periplasm n C181 ","[p] : clpn181 + h2o -->  h + pa181 + pg181",,,"Glycerophospholipid Metabolism",0,0,1000,0
"CLPNS120pp","cardiolipin synthase periplasmic n C120 ","[p] : (2) pg120 <==>  clpn120 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLPNS140pp","cardiolipin synthase periplasmic n C140 ","[p] : (2) pg140 <==>  clpn140 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLPNS141pp","cardiolipin synthase periplasmic n C141 ","[p] : (2) pg141 <==>  clpn141 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLPNS160pp","cardiolipin synthase periplasmic n C160 ","[p] : (2) pg160 <==>  clpn160 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLPNS161pp","cardiolipin synthase periplasmic n C161 ","[p] : (2) pg161 <==>  clpn161 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLPNS180pp","cardiolipin synthase periplasmic n C180 ","[p] : (2) pg180 <==>  clpn180 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLPNS181pp","cardiolipin synthase periplasmic n C181 ","[p] : (2) pg181 <==>  clpn181 + glyc","( ECW_m1341  or  ECW_m0845 )","ECW_m0845 ECW_m1341","Glycerophospholipid Metabolism",1,-1000,1000,0
"CLt3_2pp","chloride transport out via proton antiport 21  periplasm "," (2) cl[p] + h[c] -->  (2) cl[c] + h[p]","( ECW_m0152  or  ECW_m1757 )","ECW_m0152 ECW_m1757","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CLtex","chloride Cl 1 transport via diffusion extracellular to periplasm "," cl[e] <==>  cl[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CMPN","CMP nucleosidase","[c] : cmp + h2o -->  csn + r5p",,,"Nucleotide Salvage Pathway",0,0,1000,0
"CMPtex","CMP transport via diffusion extracellular to periplasm "," cmp[e] <==>  cmp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CO2tex","CO2 transport via diffusion extracellular to periplasm "," co2[e] <==>  co2[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CO2tpp","CO2 transporter via diffusion periplasm "," co2[p] <==>  co2[c]","s0001","s0001","Transport Inner Membrane",1,-1000,1000,0
"COBALT2abcpp","Cobalt Co2 ABC transporter periplasm "," atp[c] + cobalt2[c] + h2o[c] -->  adp[c] + cobalt2[p] + h[c] + pi[c]","ECW_m3730","ECW_m3730","Inorganic Ion Transport and Metabolism",0,0,1000,0
"COBALT2t3pp","cobalt Co2 transport out via proton antiport periplasm "," cobalt2[c] + h[p] -->  cobalt2[p] + h[c]","( ECW_m4266  or  ECW_m0807 )","ECW_m0807 ECW_m4266","Inorganic Ion Transport and Metabolism",0,0,1000,0
"COBALT2tex","cobalt Co2 transport via diffusion extracellular to periplasm "," cobalt2[e] <==>  cobalt2[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"COBALT2tpp","cobalt transport in via permease no H "," cobalt2[p] -->  cobalt2[c]","( ECW_m3305  or  ECW_m4117 )","ECW_m3305 ECW_m4117","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNR1","coprogen Fe III  reductase","[c] : (2) cpgn + fadh2 -->  (2) cpgn-un + fad + (2) fe2 + (2) h",,,"Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNR2","coprogen Fe III  reductase","[c] : (2) cpgn + fmnh2 -->  (2) cpgn-un + (2) fe2 + fmn + (2) h",,,"Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNR3","coprogen Fe III  reductase","[c] : (2) cpgn + rbflvrd -->  (2) cpgn-un + (2) fe2 + (2) h + ribflv",,,"Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNUtex","coprogen unloaded secretion extracellular "," cpgn-un[p] + h[p] -->  cpgn-un[e] + h[c]",,,"Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNUtpp","coprogen unloaded secretion"," cpgn-un[c] + h[p] -->  cpgn-un[p] + h[c]",,,"Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNabcpp","coprogen transport via ABC system periplasm "," atp[c] + cpgn[p] + h2o[c] -->  adp[c] + cpgn[c] + h[c] + pi[c]","( ECW_m0150  and  ECW_m0148  and  ECW_m0149 )","ECW_m0148 ECW_m0149 ECW_m0150","Transport Inner Membrane",0,0,1000,0
"CPGNexs","coprogen Fe loading reaction spontaneaous ","[e] : cpgn-un + fe3 -->  cpgn","s0001","s0001","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CPGNtonex","Coprogen transport via ton system extracellular "," cpgn[e] + h[p] -->  cpgn[p] + h[c]","( ECW_m1210  and  ( ECW_m1344  and  ECW_m3277  and  ECW_m3278 ) )","ECW_m1210 ECW_m1344 ECW_m3277 ECW_m3278","Transport Outer Membrane",0,0,1000,0
"CPPPGO","coproporphyrinogen oxidase O2 required ","[c] : cpppg3 + (2) h + o2 -->  (2) co2 + (2) h2o + pppg9","ECW_m2664","ECW_m2664","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"CPPPGO2","Oxygen Independent coproporphyrinogen III oxidase","[c] : (2) amet + cpppg3 -->  (2) co2 + (2) dad-5 + (2) met-L + pppg9","ECW_m4169","ECW_m4169","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"CRNBTCT","gamma butyrobetainyl CoA carnitine CoA transferase","[c] : bbtcoa + crn <==>  crncoa + gbbtn","ECW_m0038","ECW_m0038","Oxidative Phosphorylation",1,-1000,1000,0
"CRNCAL2","Carnitine CoA Ligase","[c] : atp + coa + crn -->  adp + crncoa + pi","ECW_m0037","ECW_m0037","Oxidative Phosphorylation",0,0,1000,0
"CRNCAR","carnitine CoA racemase","[c] : crncoa <==>  crnDcoa","ECW_m0036","ECW_m0036","Oxidative Phosphorylation",1,-1000,1000,0
"CRNCBCT","crotonobetainyl CoA carnitine CoA transferase","[c] : crn + ctbtcoa <==>  crncoa + ctbt","ECW_m0038","ECW_m0038","Oxidative Phosphorylation",1,-1000,1000,0
"CRNCDH","Carnityl CoA dehydratse","[c] : crncoa <==>  ctbtcoa + h2o","ECW_m0036","ECW_m0036","Oxidative Phosphorylation",1,-1000,1000,0
"CRNDCAL2","D Carnitine CoA Ligase","[c] : atp + coa + crn-D -->  adp + crnDcoa + pi","ECW_m0037","ECW_m0037","Oxidative Phosphorylation",0,0,1000,0
"CRNDabcpp","D carnitine transport via ABC system periplasm "," atp[c] + crn-D[p] + h2o[c] -->  adp[c] + crn-D[c] + h[c] + pi[c]","( ECW_m2874  and  ECW_m2875  and  ECW_m2876 )","ECW_m2874 ECW_m2875 ECW_m2876","Transport Inner Membrane",0,0,1000,0
"CRNDt2rpp","D carnitine outward transport H antiport "," crn-D[p] + h[p] <==>  crn-D[c] + h[c]","ECW_m4471","ECW_m4471","Transport Inner Membrane",1,-1000,1000,0
"CRNabcpp","L carnitine transport via ABC system periplasm "," atp[c] + crn[p] + h2o[c] -->  adp[c] + crn[c] + h[c] + pi[c]","( ECW_m2874  and  ECW_m2875  and  ECW_m2876 )","ECW_m2874 ECW_m2875 ECW_m2876","Transport Inner Membrane",0,0,1000,0
"CRNt2rpp","L carnitine outward transport H antiport "," crn[p] + h[p] <==>  crn[c] + h[c]","ECW_m4471","ECW_m4471","Transport Inner Membrane",1,-1000,1000,0
"CRNt7pp","Carnitinebutyrobetaine antiporter periplasm "," crn[p] + gbbtn[c] -->  crn[c] + gbbtn[p]","ECW_m0040","ECW_m0040","Transport Inner Membrane",0,0,1000,0
"CRNt8pp","L carnitineD carnitine antiporter periplasm "," crn-D[c] + crn[p] -->  crn-D[p] + crn[c]","ECW_m0040","ECW_m0040","Transport Inner Membrane",0,0,1000,0
"CRNtex","L carnitine transport via diffusion extracellular to periplasm "," crn[e] <==>  crn[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CS","citrate synthase","[c] : accoa + h2o + oaa -->  cit + coa + h","ECW_m0774","ECW_m0774","Citric Acid Cycle",0,0,1000,0
"CSND","Cytosine deaminase","[c] : csn + h2o + h -->  nh4 + ura","ECW_m0415","ECW_m0415","Nucleotide Salvage Pathway",0,0,1000,0
"CSNt2pp","cytosine transport in via proton symport periplasm "," csn[p] + h[p] -->  csn[c] + h[c]","ECW_m0414","ECW_m0414","Transport Inner Membrane",0,0,1000,0
"CSNtex","cytosine transport via diffusion extracellular to periplasm "," csn[e] <==>  csn[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CTBTCAL2","Crotonobetaine CoA Ligase","[c] : atp + coa + ctbt -->  adp + ctbtcoa + pi","ECW_m0037","ECW_m0037","Oxidative Phosphorylation",0,0,1000,0
"CTBTabcpp","crotonobetaine transport via ABC system periplasm "," atp[c] + ctbt[p] + h2o[c] -->  adp[c] + ctbt[c] + h[c] + pi[c]","( ECW_m2874  and  ECW_m2875  and  ECW_m2876 )","ECW_m2874 ECW_m2875 ECW_m2876","Transport Inner Membrane",0,0,1000,0
"CTBTt2rpp","cronobetaine outward transport H antiport "," ctbt[p] + h[p] <==>  ctbt[c] + h[c]","ECW_m4471","ECW_m4471","Transport Inner Membrane",1,-1000,1000,0
"CTPS2","CTP synthase glutamine ","[c] : atp + gln-L + h2o + utp -->  adp + ctp + glu-L + (2) h + pi","ECW_m2989","ECW_m2989","Purine and Pyrimidine Biosynthesis",0,0,1000,0
"CU1Opp","Cuprous Oxidase Cu1 ","[p] : (4) cu + (4) h + o2 -->  (4) cu2 + (2) h2o","ECW_m0120","ECW_m0120","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CU1abcpp","Copper Cu 1 ABC transporter periplasm "," atp[c] + cu[c] + h2o[c] -->  adp[c] + cu[p] + h[c] + pi[c]","ECW_m0557","ECW_m0557","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CU2abcpp","Copper Cu2 ABC transporter periplasm "," atp[c] + cu2[c] + h2o[c] -->  adp[c] + cu2[p] + h[c] + pi[c]","ECW_m3730","ECW_m3730","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CU2tex","copper Cu2 transport via diffusion extracellular to periplasm "," cu2[e] <==>  cu2[p]","( ECW_m2416  or  ECW_m0355  or  ECW_m1039  or  ECW_m1509 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CU2tpp","copper transport in via permease no H "," cu2[p] -->  cu2[c]","ECW_m3305","ECW_m3305","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CUt3","copper transport out via proton antiport"," cu[c] + h[e] -->  cu[e] + h[c]","( ECW_m0624  and  ECW_m0625  and  ECW_m0626  and  ECW_m0627 )","ECW_m0624 ECW_m0625 ECW_m0626 ECW_m0627","Transport Outer Membrane",0,0,1000,0
"CUtex","copper Cu1 transport via diffusion extracellular to periplasm "," cu[e] <==>  cu[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CYANST","Cyanide sulfurtransferase","[c] : cyan + tsul -->  h + so3 + tcynt","ECW_m3682","ECW_m3682","Unassigned",0,0,1000,0
"CYANSTpp","Cyanide sulfurtransferase periplasmic ","[p] : cyan + tsul -->  h + so3 + tcynt","ECW_m1404","ECW_m1404","Inorganic Ion Transport and Metabolism",0,0,1000,0
"CYANtex","Cyanide transport via diffusion extracellular to periplasm "," cyan[e] <==>  cyan[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CYNTAH","Cyanate aminohydrolase","[c] : cynt + (3) h + hco3 -->  (2) co2 + nh4","ECW_m0418","ECW_m0418","Nitrogen Metabolism",0,0,1000,0
"CYNTt2pp","Cyanate transport via proton symport periplasm "," cynt[p] + h[p] -->  cynt[c] + h[c]","ECW_m0419","ECW_m0419","Transport Inner Membrane",0,0,1000,0
"CYNTtex","Cyanate transport via diffusion extracellular to periplasm "," cynt[e] <==>  cynt[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CYSDDS","D cysteine desulfhydrase","[c] : cys-D + h2o -->  h2s + nh4 + pyr","ECW_m2093","ECW_m2093","Cysteine Metabolism",0,0,1000,0
"CYSDS","Cysteine Desulfhydrase","[c] : cys-L + h2o -->  h2s + nh4 + pyr","( ECW_m4007  or  ECW_m3279 )","ECW_m3279 ECW_m4007","Cysteine Metabolism",0,0,1000,0
"CYSDabcpp","D cysteine uptake via ABC system periplasm "," atp[c] + cys-D[p] + h2o[c] -->  adp[c] + cys-D[c] + h[c] + pi[c]",,,"Transport Inner Membrane",0,0,1000,0
"CYSDtex","D cysteine transport via diffusion extracellular to periplasm "," cys-D[e] <==>  cys-D[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CYSS","cysteine synthase","[c] : acser + h2s -->  ac + cys-L + h","( ECW_m2643  or  ECW_m2649 )","ECW_m2643 ECW_m2649","Cysteine Metabolism",0,0,1000,0
"CYSSADS","L cysteine sulfinic acid desulfurase","[c] : 3sala + (2) h -->  ala-L + so2","ECW_m3021","ECW_m3021","Cysteine Metabolism",0,0,1000,0
"CYSTL","cystathionine b lyase","[c] : cyst-L + h2o -->  hcys-L + nh4 + pyr","( ECW_m1788  or  ECW_m3279 )","ECW_m1788 ECW_m3279","Methionine Metabolism",0,0,1000,0
"CYSTRS","Cysteinyl tRNA synthetase","[c] : atp + cys-L + trnacys -->  amp + cystrna + ppi","ECW_m0597","ECW_m0597","tRNA Charging",0,0,1000,0
"CYSabc2pp","L cysteine export via ABC system cytoplasm to periplasm "," atp[c] + cys-L[c] + h2o[c] -->  adp[c] + cys-L[p] + h[c] + pi[c]","( ECW_m0996  and  ECW_m0997 )","ECW_m0996 ECW_m0997","Transport Inner Membrane",0,0,1000,0
"CYSabcpp","L cysteine uptake via ABC system periplasm "," atp[c] + cys-L[p] + h2o[c] -->  adp[c] + cys-L[c] + h[c] + pi[c]",,,"Transport Inner Membrane",0,0,1000,0
"CYStex","L cysteine transport via diffusion extracellular to periplasm "," cys-L[e] <==>  cys-L[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CYStpp","L cysteine export via facilitated transport"," cys-L[c] -->  cys-L[p]","( ECW_m2807  or  ECW_m1668 )","ECW_m1668 ECW_m2807","Transport Inner Membrane",0,0,1000,0
"CYTBD2pp","cytochrome oxidase bd menaquinol 8 2 protons  periplasm "," (2) h[c] + mql8[c] + (0.5) o2[c] -->  h2o[c] + (2) h[p] + mqn8[c]","( ECW_m1088  and  ECW_m1089 )","ECW_m1088 ECW_m1089","Oxidative Phosphorylation",0,0,1000,0
"CYTBDpp","cytochrome oxidase bd ubiquinol 8 2 protons  periplasm "," (2) h[c] + (0.5) o2[c] + q8h2[c] -->  h2o[c] + (2) h[p] + q8[c]","( ( ECW_m1088  and  ECW_m1089 )  or  ( ECW_m0787  and  ECW_m0788 ) )","ECW_m0787 ECW_m0788 ECW_m1088 ECW_m1089","Oxidative Phosphorylation",0,0,1000,0
"CYTBO3_4pp","cytochrome oxidase bo3 ubiquinol 8 4 protons  periplasm "," (4) h[c] + (0.5) o2[c] + q8h2[c] -->  h2o[c] + (4) h[p] + q8[c]","( ECW_m0501  and  ECW_m0502  and  ECW_m0503  and  ECW_m0504 )","ECW_m0501 ECW_m0502 ECW_m0503 ECW_m0504","Oxidative Phosphorylation",0,0,1000,0
"CYTD","cytidine deaminase","[c] : cytd + h2o + h -->  nh4 + uri","ECW_m2344","ECW_m2344","Nucleotide Salvage Pathway",0,0,1000,0
"CYTDH","Cytidine hydrolase","[c] : cytd + h2o -->  csn + rib-D","( ECW_m2363  or  ECW_m0705  or  ECW_m0029 )","ECW_m0029 ECW_m0705 ECW_m2363","Alternate Carbon Metabolism",0,0,1000,0
"CYTDK2","cytidine kinase GTP ","[c] : cytd + gtp -->  cmp + gdp + h","ECW_m2225","ECW_m2225","Nucleotide Salvage Pathway",0,0,1000,0
"CYTDt2pp","cytidine transport in via proton symport periplasm "," cytd[p] + h[p] -->  cytd[c] + h[c]","( ECW_m3222  or  ECW_m2625 )","ECW_m2625 ECW_m3222","Transport Inner Membrane",0,0,1000,0
"CYTDtex","cytidine transport via diffusion extracellular to periplasm "," cytd[e] <==>  cytd[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"CYTK1","cytidylate kinase CMP ","[c] : atp + cmp <==>  adp + cdp","ECW_m1020","ECW_m1020","Nucleotide Salvage Pathway",1,-1000,1000,0
"CYTK2","cytidylate kinase dCMP ","[c] : atp + dcmp <==>  adp + dcdp","ECW_m1020","ECW_m1020","Nucleotide Salvage Pathway",1,-1000,1000,0
"DAAD","D Amino acid dehydrogenase","[c] : ala-D + fad + h2o -->  fadh2 + nh4 + pyr","ECW_m1274","ECW_m1274","Alanine and Aspartate Metabolism",0,0,1000,0
"DADA","Deoxyadenosine deaminase","[c] : dad-2 + h2o + h -->  din + nh4","ECW_m1789","ECW_m1789","Nucleotide Salvage Pathway",0,0,1000,0
"DADK","deoxyadenylate kinase","[c] : atp + damp <==>  adp + dadp","ECW_m0546","ECW_m0546","Nucleotide Salvage Pathway",1,-1000,1000,0
"DADNt2pp","deoxyadenosine transport in via proton symport periplasm "," dad-2[p] + h[p] -->  dad-2[c] + h[c]","( ECW_m2625  or  ECW_m3222 )","ECW_m2625 ECW_m3222","Transport Inner Membrane",0,0,1000,0
"DADNtex","deoxyadenosine transport via diffusion extracellular to periplasm "," dad-2[e] <==>  dad-2[p]","ECW_m0480","ECW_m0480","Transport Outer Membrane",1,-1000,1000,0
"DAGK120","diacylglycerol kinase n C120 ","[c] : 12dgr120 + atp -->  adp + h + pa120","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DAGK140","diacylglycerol kinase n C140 ","[c] : 12dgr140 + atp -->  adp + h + pa140","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DAGK141","diacylglycerol kinase n C141 ","[c] : 12dgr141 + atp -->  adp + h + pa141","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DAGK160","diacylglycerol kinase n C160 ","[c] : 12dgr160 + atp -->  adp + h + pa160","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DAGK161","diacylglycerol kinase n C161 ","[c] : 12dgr161 + atp -->  adp + h + pa161","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DAGK180","diacylglycerol kinase n C180 ","[c] : 12dgr180 + atp -->  adp + h + pa180","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DAGK181","diacylglycerol kinase n C181 ","[c] : 12dgr181 + atp -->  adp + h + pa181","ECW_m4408","ECW_m4408","Glycerophospholipid Metabolism",0,0,1000,0
"DALAt2pp","D alanine transport in via proton symport periplasm "," ala-D[p] + h[p] -->  ala-D[c] + h[c]","ECW_m4572","ECW_m4572","Transport Inner Membrane",0,0,1000,0
"DALAtex","D Alanine transport via diffusion extracellular to periplasm "," ala-D[e] <==>  ala-D[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"DAMPtex","dAMP transport via diffusion extracellular to periplasm "," damp[e] <==>  damp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"DAPAL","2 3 diaminopropionate amonnia lyase","[c] : 23dappa + h2o -->  (2) nh4 + pyr","ECW_m3124","ECW_m3124","Alternate Carbon Metabolism",0,0,1000,0
"DAPDC","diaminopimelate decarboxylase","[c] : 26dap-M + h -->  co2 + lys-L","ECW_m3083","ECW_m3083","Threonine and Lysine Metabolism",0,0,1000,0
"DAPE","diaminopimelate epimerase","[c] : 26dap-LL <==>  26dap-M","ECW_m4110","ECW_m4110","Threonine and Lysine Metabolism",1,-1000,1000,0
"DAPabcpp","M diaminopimelic acid ABC transport periplasm "," 26dap-M[p] + atp[c] + h2o[c] -->  26dap-M[c] + adp[c] + h[c] + pi[c]",,,"Transport Inner Membrane",0,0,1000,0
"DAPtex","1 5 Diaminopentane transport via diffusion extracellular to periplasm "," 15dap[e] <==>  15dap[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"DASYN120","CDP diacylglycerol synthetase n C120 ","[c] : ctp + h + pa120 -->  cdpdddecg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DASYN140","CDP diacylglycerol synthetase n C140 ","[c] : ctp + h + pa140 -->  cdpdtdecg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DASYN141","CDP diacylglycerol synthetase n C141 ","[c] : ctp + h + pa141 -->  cdpdtdec7eg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DASYN160","CDP diacylglycerol synthetase n C160 ","[c] : ctp + h + pa160 -->  cdpdhdecg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DASYN161","CDP diacylglycerol synthetase n C161 ","[c] : ctp + h + pa161 -->  cdpdhdec9eg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DASYN180","CDP diacylglycerol synthetase n C180 ","[c] : ctp + h + pa180 -->  cdpdodecg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DASYN181","CDP diacylglycerol synthetase n C181 ","[c] : ctp + h + pa181 -->  cdpdodec11eg + ppi","ECW_m0171","ECW_m0171","Glycerophospholipid Metabolism",0,0,1000,0
"DATPHs","dATP amine hydrolysis spontaneous ","[c] : datp + h2o + h -->  ditp + nh4","s0001","s0001","Nucleotide Salvage Pathway",0,0,1000,0
"DB4PS","3 4 Dihydroxy 2 butanone 4 phosphate synthase","[c] : ru5p-D -->  db4p + for + h","ECW_m3307","ECW_m3307","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"DBTS","dethiobiotin synthase","[c] : atp + co2 + dann -->  adp + dtbt + (3) h + pi","ECW_m0833","ECW_m0833","Cofactor and Prosthetic Group Biosynthesis",0,0,1000,0
"DCAtex","Decanoate transport via diffusion extracellular to periplasm "," dca[e] <==>  dca[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"DCMPtex","dCMP transport via diffusion extracellular to periplasm "," dcmp[e] <==>  dcmp[p]","( ECW_m0355  or  ECW_m1039  or  ECW_m1509  or  ECW_m2416 )","ECW_m0355 ECW_m1039 ECW_m1509 ECW_m2416","Transport Outer Membrane Porin",1,-1000,1000,0
"DCTPD","dCTP deaminase","[c] : dctp + h2o + h -->  dutp + nh4","ECW_m2224","ECW_m2224","Nucleotide Salvage Pathway",0,0,1000,0
"DCYTD","deoxycytidine deaminase","[c] : dcyt + h2o + h -->  duri + nh4","ECW_m2344","ECW_m2344","Nucleotide Salvage Pathway",0,0,1000,0
"DCYTt2pp","deoxycytidine transport in via proton symport periplasm "," dcyt[p] + h[p] -->  dcyt[c] + h[c]","( ECW_m3222  or  ECW_m2625 )","ECW_m2625 ECW_m3222","Transport Inner Membrane",0,0,1000,0
"DCYTtex","deoxycytidine transport via diffusion extracellular to periplasm "," dcyt[e] <==>  dcyt[p]","ECW_m0480","ECW_m0480","Transport Outer Membrane",1,-1000,1000,0
"DDCAtexi","Fatty acid dodecanoate transport via facilitated irreversible diffusion extracellular to periplasm "," ddca[e] -->  ddca[p]","ECW_m2532","ECW_m2532","Transport Outer Membrane",0,0,1000,0
"DDGALK","2 dehydro 3 deoxygalactonokinase","[c] : 2dh3dgal + atp -->  2dh3dgal6p + adp + h","ECW_m3993","ECW_m3993","Alternate Carbon Metabolism",0,0,1000,0
