KEGG ID,Names,Occurence
C06383,N-(Aminomethyl)urea,2
C06384,N-(Hydroxymethyl)urea,2
C06385,Dimethylenetriurea,0
C06386,Trimethylenetetraurea,0
C06387,4-Chlorobenzoyl-CoA,3
C06388,2-Aryl-2-methylmalonate,1
C06389,2-Arylpropionate,1
C06390,16-alpha-Hydroxypregnenolone|16alpha-Hydroxypregnenolone,1
C06391,Algestone,0
C06392,"16,17-Didehydropregnenolone",1
C06393,"2,3-Diaminopropanoate|2,3-Diaminopropionate|2,3-Diaminopropionic acid|2,3-Diaminopropanoic acid",1
C06394,delta-Cadinene|(+)-delta-Cadinene,2
C06395,[Protein]-L-serine,3
C06396,[Protein]-D-serine,1
C06397,ADP-D-glycero-beta-D-manno-heptose,2
C06398,ADP-L-glycero-beta-D-manno-heptose,1
C06399,Hydrogenobyrinate|Hydrogenobyrinic acid,2
C06400,"1-alpha-D-{(1,4)-alpha-D-Glucosyl}(n-1)-alpha-D-glucopyranoside|4-alpha-D-(1,4-alpha-D-Glucanosyl)n trehalose",1
C06403,"[Ribulose-1,5-bisphosphate-carboxylase]-lysine",1
C06404,"[Ribulose-1,5-bisphosphate-carboxylase]-N6-methyl-L-lysine",1
C06406,Precorrin 3B,2
C06407,Precorrin 4,2
C06408,Precorrin 8X|Precorrin 8|Precorrin-8X,2
C06409,[Methionine synthase]-cob(II)alamin,1
C06410,[Methionine synthase]-methylcob(I)alamin,1
C06412,Palmitoyl-protein,1
C06413,Quinoline|Benzo[b]pyridine,1
C06414,4-Quinolinecarboxylic acid|Quinoline-4-carboxylate|Quinoline-4-carboxylic acid|Cinchonic acid,1
C06415,2(1H)-Quinolinone|Quinolin-2(1H)-one,1
C06416,Precorrin 5,2
C06417,D-Valine|(R)-2-Amino-3-methylbutyric acid,0
C06418,"D-Isoleucine|(2R,3R)-2-Amino-3-methylvaleric acid",0
C06419,D-Histidine|(R)-alpha-Amino-1H-imidazole-4-propionic acid,0
C06420,D-Tyrosine|(R)-3-(p-Hydroxyphenyl)alanine|(R)-2-Amino-3-(p-hydroxyphenyl)propionic acid,0
C06421,alpha-Cellobiose|1-beta-D-Glucopyranosyl-4-alpha-D-glucopyranose,0
C06422,beta-Cellobiose|1-beta-D-Glucopyranosyl-4-beta-D-glucopyranose,0
C06423,Octanoic acid|Caprylic acid|Octylic acid,2
C06424,Tetradecanoic acid|Tetradecanoate|Myristic acid,1
C06425,Icosanoic acid|Eicosanoic acid|Arachidic acid,1
C06426,"(6Z,9Z,12Z)-Octadecatrienoic acid|6,9,12-Octadecatrienoic acid|gamma-Linolenic acid|Gamolenic acid",2
C06427,"(9Z,12Z,15Z)-Octadecatrienoic acid|alpha-Linolenic acid|9,12,15-Octadecatrienoic acid|Linolenate|alpha-Linolenate",8
C06428,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid|(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid|Eicosapentaenoic acid|5,8,11,14,17-Icosapentaenoic acid|(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate",2
C06429,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid|4,7,10,13,16,19-Docosahexaenoic acid|Docosahexaenoic acid|Docosahexaenoate",2
C06430,D-Galacturonolactone|D-gamma-Galacturonolactone,2
C06432,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanine|UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-L-lysyl-D-alanine,1
C06433,5'-Benzoylphosphoadenosine,1
C06435,5'-Butyrylphosphoinosine|Inosine 5'-phosphobutyrate,1
C06436,5'-Butyrylphosphouridine,0
C06437,"1,3-Diacylglycerol",0
C06438,Prostaglandin D1,0
C06439,Prostaglandin E3,0
C06440,"2-Dehydro-D-glucono-1,5-lactone",2
C06441,L-Xylulose 1-phosphate,2
C06442,"N(gamma)-Acetyldiaminobutyrate|N4-Acetyl-L-2,4-diaminobutyrate|N4-Acetyl-L-2,4-diaminobutanoate",2
C06443,Hydroxamate|Hydroxamic acid,0
C06446,"2-N,6-N-Bis(2,3-dihydroxybenzoyl)-L-lysine",0
C06447,"2-N,6-N-Bis(2,3-dihydroxybenzoyl)-L-lysine amide",0
C06450,Myxochelin C,0
C06451,2-Hydroxyethylphosphonate|(2-Hydroxyethyl)-phosphonic acid,5
C06452,(S)-2-Hydroxypropylphosphonate,2
C06453,Methylcobalamin,4
C06454,"Fosfomycin|Phosphonomycin|(1R,2S)-Epoxypropylphosphonate",1
C06455,Hydroxymethylphosphonate|P-(Hydroxymethyl)-phosphonic acid,2
C06456,Phosphonoformate|Foscarmet|Foscarnet,2
C06457,Bialaphos|Bilanafos|2-Amino-4-(methylphosphino)butyrylalanylalanine|gamma-(Hydroxymethylphosphinyl)-L-alpha-aminobutyryl-L-alanyl-L-alanine|Phosphinothricin tripeptide,1
C06459,N-Trimethyl-2-aminoethylphosphonate|2-Trimethylaminoethylphosphonate,2
C06461,Hydroxyaldehyde,0
C06462,Leukotriene F4|LTF4,1
C06463,D-Threose|D-threo-Tetrose,0
C06464,D-Altrose|D-altro-Hexose,0
C06465,D-Gulose|D-gulo-Hexose,0
C06466,D-Idose|D-ido-Hexose,0
C06467,D-Talose|D-talo-Hexose,0
C06468,D-Psicose|D-ribo-Hex-2-ulose|D-ribo-2-Hexulose|D-ribo-2-Ketohexulose|D-erythro-Hexulose|D-Pseudofructose|D-Allulose|D-Altrulose,1
C06469,"Neuraminic acid|5-Amino-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid",0
C06470,Muramic acid|2-Amino-3-O-D-1-carboxyethyl-2-deoxy-D-glucose|3-O-alpha-Carboxyethyl-D-glucosamine,0
C06471,"Abequose|3,6-Deoxy-D-galactose|3,6-Deoxy-D-xylo-hexose|3-Deoxy-D-fucose",0
C06472,L-Iduronic acid,2
C06473,2-Keto-D-gluconic acid|2-Dehydro-D-gluconate|2-Dehydro-D-gluconic acid|alpha-D-arabino-2-Hexulosonic acid,7
C06474,"3,6-Anhydrogalactose|3,6-Anhydro-D-galactose",0
C06475,"Prostaglandin F1alpha|(13E,15S)-9alpha,11alpha-9,11,15-Trihydroxyprost-13-en-1-oic acid",0
C06476,Prostaglandin F3alpha,0
C06477,L-Guluronic acid,0
C06478,"3,6-Anhydroglucose|3,6-Anhydro-D-glucose",0
C06479,Ketosteroid,2
C06481,L-Seryl-tRNA(Sec),3
C06482,L-Selenocysteinyl-tRNA(Sec),2
C06483,"N-Acetyl-alpha-D-galactosaminyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactoside|Glycoprotein-N-Acetyl-alpha-D-galactosaminyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactose",1
C06484,"4,5-cis-Dihydroxy-1,2-dithiacyclohexane|Oxidized dithioerythritol",1
C06485,"1,5-Anhydro-D-fructose",4
C06488,"XV638|[4R-(4alpha,5alpha,6beta,7beta)]-3,3'-[[Tetrahydro-5,6-dihydroxy-2-oxo-4,7-bis(phenylmethyl)-1H-1,3-diazepine-1,3(2H)-diyl]bis(methylene)]bis[N-2-thiazolylbenzamide]",0
C06489,"Compound VII|5-(5-(6-Chloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)pentyl)-3-methylisoxazole",0
C06490,"WIN VI|WIN 52035|5-(5-(4-(4,5-Dihydro-2-oxazoly)phenoxy)pentyl)-3-methylisoxazole",0
C06491,"Compound WIN VIII|5-(5-(2,6-Dichloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)pentyl)-3-(hydroxyethyloxymethyleneoxymethyl)isoxazole",0
C06492,Compound II(R/S)|5-(7-(6-Chloro-4-(5-hydro-4-methyl-2-oxazolyl)phenoxy)heptyl)-3-methylisoxazole,0
C06493,"WIN54954|5-(5-(2,6-Dichloro-4-(4,5-dihydro-2-oxazoly)phenoxy)pentyl)-3-methylisoxazole",0
C06494,Compound V(S)|5-(5-(4-(5-Hydro-4-methyl-2-oxazolyl)phenoxy)pentyl)-3-methylisoxazole,0
C06495,"Compound III(S)|5-(7-(4-(4-Ethyl-4,5-dihydrooxazol-2-yl)phenoxy)heptyl)-3-methylisoxazole",0
C06496,"Compound IV|5-(7-(4-(4,5-Dihydro-2-oxazolyl)phenoxy)heptyl)-3-methylisoxazole|Disoxaril",0
C06497,"WIN I(S)|WIN 52084 (S)|5-(7-(4-(4-Methyl-4,5-dihydrooxazol-2-yl)phenoxy)heptyl)-3-methylisoxazole",0
C06499,"WIN56291|5-(3-(2,6-Dichloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)propyl)-3-methylisoxazole",0
C06500,5'-Guanylylmethylenebisphosphonate|5'-Guanosyl-methylene-triphosphate,0
C06501,Phosphotyrosine|Phosphonotyrosine,0
C06502,"4,6-Diamino-5-formamidopyrimidine|4,6-Diamino-5-N-formamidopyrimidine",0
C06503,"Hydrogenobyrinate a,c diamide|Hydrogenobyrinate diamide|Hydrogenobyrinic acid a,c-diamide",2
C06504,"Cob(II)yrinate a,c diamide|Cob(II)yrinate diamide|Cob(II)yrinic acid a,c-diamide|Cobyrinate a,c-diamide|Cobyrinic acid a,c-diamide",4
C06505,"Cob(I)yrinate a,c diamide|Cob(I)yrinate diamide|Cob(I)yrinic acid a,c-diamide",2
C06506,"Adenosyl cobyrinate a,c diamide|Adenosyl cobyrinate diamide|Adenosylcob(III)yrinic acid a,c-diamide|Adenosylcobyrinic acid a,c-diamide",2
C06507,Adenosyl cobyrinate hexaamide|Adenosylcobyric acid,4
C06508,Adenosyl cobinamide|Adenosylcobinamide,5
C06509,Adenosyl cobinamide phosphate|Adenosylcobinamide phosphate,4
C06510,Adenosine-GDP-cobinamide|Adenosylcobinamide-GDP,2
C06511,"Guattegaumerine|N,N'-Dimethyllindoldhamine",1
C06512,2'-Norberbamunine,1
C06513,Obamegine|(+)-Obamegine|Stepholine,0
C06514,Aromoline,0
C06515,Magnoline,0
C06516,(R)-Norreticuline|N-Norreticuline,3
C06517,(S)-6-O-Methylnorlaudanosoline|(S)-3'-Hydroxycoclaurine,4
C06518,(S)-Nororientaline,1
C06520,(S)-Norreticuline,2
C06521,Cuscohygrine|Cuskhygrine,1
C06522,Strychnine,1
C06523,Coniine|(+)-Coniine|Cicutin,1
C06524,Nornicotine,1
C06525,Gentianine,0
C06526,Quinine|(-)-Quinine,2
C06527,Quinidine|(+)-Quinidine,1
C06528,Cinchonine|(9S)-Cinchonan-9-ol,1
C06530,Cupreine,0
C06531,alpha-Erythroidine,0
C06532,beta-Erythroidine,0
C06533,Papaverine,1
C06534,Heroin|Diamorphine|Diacetylmorphine,0
C06535,Physostigmine|Eserine,1
C06536,Harmaline,3
C06537,Harmalol,0
C06538,Harmine,1
C06539,Reserpine,0
C06540,Rescinnamine,0
C06541,Deserpidine,0
C06542,Ajmaline,2
C06543,Solanidine,1
C06544,Veratridine,0
C06545,Conessine|Wrightine,0
C06546,Mescaline,1
C06547,Ethylene,5
C06548,Ethylene oxide,3
C06550,Arsonoacetate,0
C06551,Atrazine,3
C06552,"Hydroxyatrazine|4-(Ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine",2
C06553,N-Isopropylammelide,2
C06554,Cyanuric acid,6
C06555,Biuret,4
C06556,Deisopropylatrazine,3
C06557,Deisopropylhydroxyatrazine,2
C06558,"N-Ethylammelide|2,4-Dihydroxy-6-(N'-ethyl)amino-1,3,5-triazine",2
C06559,Deethylatrazine,2
C06560,Deisopropyldeethylatrazine,3
C06561,"Naringenin chalcone|2',4,4',6'-Tetrahydroxychalcone|Isosalipurpol|Chalconaringenin",6
C06562,"(+)-Catechin|D-Catechin|Cyanidanol|(2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol|(2R,3S)-Catechin|(2R,3S)-(+)-Catechin|Cianidanol",1
C06563,"Genistein|5,7,4'-Trihydroxyisoflavone",6
C06564,Penicillin N|Adicillin,3
C06565,Deacetoxycephalosporin C|DAOC,2
C06566,Cephamycin C,1
C06567,Penicilloic acid,1
C06568,O-Carbamoyl-deacetylcephalosporin C,2
C06569,7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C,2
C06570,Tetracycline,1
C06571,Chlortetracycline|7-Chlorotetracycline|Aureomycin,1
C06572,Nystatin,0
C06573,Amphotericin B,0
C06574,Ampicillin|Anhydrous ampicillin,0
C06575,p-Cymene,1
C06576,p-Cumic alcohol,2
C06577,4-Isopropylbenzaldehyde|p-Cumic aldehyde|Cuminaldehyde,2
C06578,p-Cumate,2
C06579,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate|cis-5,6-Dihydroxy-4-isopropylcyclohexa-1,3-dienecarboxylate",2
C06580,"2,3-Dihydroxy-p-cumate",2
C06581,"2-Hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate",2
C06582,"2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate",2
C06584,4-Chlorobiphenyl|1-Chloro-4-phenyl benzene|4-Monochloro-biphenyl,2
C06585,"cis-2,3-Dihydro-2,3-dihydroxy-4'-chlorobiphenyl",3
C06586,"2,3-Dihydroxy-4'-chlorobiphenyl",2
C06587,"2-Hydroxy-6-oxo-6-(4'-chlorophenyl)-hexa-2,4-dienoate",2
C06588,"Biphenyl|Phenylbenzene|1,1'-Biphenyl|1,1'-Diphenyl",2
C06589,"cis-2,3-Dihydro-2,3-dihydroxybiphenyl|cis-3-Phenylcyclohexa-3,5-diene-1,2-diol|(1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol",3
C06592,NDP-N-methyl-L-glucosamine,2
C06593,epsilon-Caprolactam,1
C06594,"1,2,4-Trichlorobenzene|Trichlorobenzene A",3
C06596,gamma-Pentachlorocyclohexene,2
C06597,"1,3,4,6-Tetrachloro-1,4-cyclohexadiene",3
C06598,"2,4,5-Trichloro-2,5-cyclohexadiene-1-ol|1-Hydroxyl-2,4,5-trichloro-2,5-cyclohexadiene",3
C06599,"2,5-Dichloro-2,5-cyclohexadiene-1,4-diol|1,4-Dihydroxyl-2,5-dichloro-2,5-cyclohexadiene",2
C06600,"2,5-Dichlorohydroquinone|2,5-Dichloro-1,4-benzenediol",4
C06601,"Chlorohydroquinone|1,4-Dihydroxyl-2-chlorobenzene|Chloroquinol",2
C06602,"2,5-Dichlorophenol|2,5-DCP",1
C06603,"cis,cis-4-Hydroxymuconic semialdehyde|4-Hydroxymuconic semialdehyde",2
C06604,"Parathion|O,O-Diethyl O-p-nitrophenyl phosphorothioate|Thiophos|DNTP",4
C06605,Aminoparathion,2
C06606,"Paraoxon|O,O-Diethyl-O-p-nitrophenylphosphoric acid",3
C06607,Diethylthiophosphoric acid|DETP,3
C06608,"Diethylphosphoric acid|O,O-Diethylphosphoric acid",2
C06609,"trans-1,3-Dichloropropene|trans-3-Chloroallyl chloride",1
C06610,"cis-1,3-Dichloropropene",1
C06611,trans-3-Chloro-2-propene-1-ol|trans-3-Chloroallyl alcohol,2
C06612,cis-3-Chloro-2-propene-1-ol|cis-3-Chloroallyl alcohol,2
C06613,trans-3-Chloroallyl aldehyde|trans-3-Chloro-2-propenal,2
C06614,trans-3-Chloroacrylic acid,2
C06615,cis-3-Chloroacrylic acid,2
C06616,Erythromycin C,3
C06620,"dTDP-3,4-dioxo-2,6-dideoxy-D-glucose",2
C06622,"dTDP-4-oxo-2,6-dideoxy-L-glucose",1
C06624,Oxytetracycline|Oxytetracycline anhydrous,1
C06625,Malonamoyl-CoA,2
C06626,4-Ketoanhydrochlortetracycline|4-Ketoanhydro-7-chlorotetracycline|4-Oxoanhydrochlortetracycline|4-Dedimethylamine-4-oxo-anhydro-7-Cl-tetracycline,2
C06627,4-Keto-anhydrotetracycline|4-Ketoanhydrotetracycline|4-Keto-ATC|4-Dedimethylamino-4-oxo-anhydrotetracycline,4
C06628,4-Hydroxy-6-methylpretetramide,2
C06629,6-Methylpretetramide,3
C06630,"3-O-alpha-Mycarosylerythronolide B|3-alpha-L-Mycarosylerythronolide B|4-(4,5-Dihydroxy-4,6-dimethyl-tetrahydro-pyran-2-yloxy)-14-ethyl-6,7,12-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",2
C06633,Erythromycin D,3
C06634,Erythromycin E,1
C06635,Erythronolide B,2
C06636,"TDE|DDD|1,1-Dichloro-2,2-bis(4'-chlorophenyl)ethane|Dichlorodiphenyldichloroethane",2
C06637,"1-Chloro-2,2-bis(4'-chlorophenyl)ethylene|DDMU",5
C06638,"1-Chloro-2,2-bis(4'-chlorophenyl)ethane|DDMS",4
C06639,"2,2-Bis(4'-chlorophenyl)ethanol|DDOH",4
C06640,Bis(4'-chlorophenyl)acetate|DDA,4
C06641,Bis(4'-chlorophenyl)methane|DDM,2
C06642,unsym-Bis(4'-chlorophenyl)ethylene|DDNU,2
C06643,"4,4'-Dichlorobenzophenone|DBP",1
C06644,"1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene",2
C06645,"6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8-trichloroocta-2E,4E,7E-trienoate",2
C06646,"2-(4'-Chlorophenyl)-3,3-dichloropropenoate",3
C06647,4-Chloroacetophenone|p-Chloroacetophenone,2
C06648,4-Chlorobenzaldehyde,2
C06649,"cis-2,3-Dihydrodiol 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane|cis-2,3-Dihydrodiol DDT",4
C06650,"2,3-Dihydroxy 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane|2,3-Dihydroxy DDT",3
C06651,"6-Oxo-2-hydroxy-7-(4'-chlorophenyl)-3,8,8,8-tetrachloroocta-2E,4E-dienoate",2
C06653,Erythromycin B|Berythromycin,2
C06654,4-Amino-anhydrotetracycline|4-Amino-ATC|4-Dedimethyl-6-dehydro-anhydrotetracycline,2
C06655,L-N2-(2-Carboxyethyl)arginine|N2-(2-Carboxyethyl)-L-arginine,2
C06656,Deoxyguanidinoproclavaminic acid|Deoxyguanidinoproclavaminate|Deoxyamidinoproclavaminate,2
C06657,Guanidinoproclavaminic acid|Guanidinoproclavaminate|Amidinoproclavaminate,2
C06658,Proclavaminic acid|Proclavaminate,2
C06659,Dihydroclavaminic acid|Dihydroclavaminate,2
C06660,Clavaminic acid|Clavaminate,2
C06661,Clavulanate-9-aldehyde,2
C06662,Clavulanic acid|Clavulanate,1
C06663,Olivanic acid,0
C06664,Thienamycin,3
C06665,Imipenem|Imipenem anhydrous,0
C06667,Clavamycin A,0
C06668,Valclavam,0
C06669,(5R)-Carbapen-2-em-3-carboxylate|1-Carbapen-2-em-3-carboxylic acid|(5R)-Carbapenem-3-carboxylic acid|(5R)-Carbapenem-3-carboxylate|(5R)-7-Oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylate,2
C06670,"2,4-Dichlorobenzoate|2,4-Dichlorobenzoic acid",1
C06671,"2,4-Dichlorobenzoyl-CoA",2
C06672,Vanillate|Vanillic acid|4-Hydroxy-3-methoxybenzoate|4-Hydroxy-3-methoxybenzoic acid,9
C06673,4-Carboxy-4'-sulfoazobenzene,1
C06674,4-Sulfocatechol,2
C06675,3-Sulfomuconate,2
C06676,4-Sulfolactone|4-Carboxymethyl-4-sulfobut-2-en-4-olide|4-Sulfomuconolactone,2
C06677,Toluene-4-sulfonate|Tosylate,3
C06678,4-Sulfobenzyl alcohol|4-(Hydroxymethyl)benzenesulfonate,2
C06679,4-Sulfobenzaldehyde|4-Formylbenzenesulfonate,2
C06680,4-Hydroxyphthalate,1
C06681,Mitomycin|Mitomycin C,0
C06682,DL-Cycloserine,0
C06683,Ceftriaxone,0
C06684,Valinomycin,0
C06685,Cycloheximide,0
C06686,Griseofulvin,0
C06687,Norfloxacin,0
C06688,Rifampicin|Rifampin,0
C06689,Vancomycin,1
C06690,Candicidin D|FR-008-III,0
C06691,Actinorhodin|Actinorhodine,1
C06692,Polyoxin B,0
C06693,Monensin|Monensin A,0
C06694,Fusidic acid,0
C06695,2-Oxazolidinone,0
C06696,Lead|Pb|Pb2+,0
C06697,Arsenite|Trisoxylatoarsine,5
C06701,Phosphonic acid|Phosphonate|Phosphorous acid|Phosphite,1
C06702,Polyamine,0
C06704,Iron chelate,0
C06705,Capsular polysaccharide,0
C06706,Lipo-oligosaccharide,0
C06707,Teichoic acid,0
C06710,Silver|Argentum|Ag|Ag+,0
C06711,Fluoren-9-ol|9-Fluorenol|9-Hydroxyfluorene|Diphenylene carbinol,3
C06712,Fluoren-9-one|9-Fluorenone,5
C06714,3-Hydroxypimeloyl-CoA|3-Hydroxypimelyl-CoA,4
C06715,3-Oxopimeloyl-CoA|3-Ketopimelyl-CoA,2
C06717,Mycothiol,6
C06718,S-Formylmycothiol,2
C06719,Dihydrophloroglucinol,2
C06720,"1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate|1,2-Dihydroxy-3-methylcyclohexa-3,5-dienecarboxylate",2
C06721,"cis-1,2-Dihydroxy-1,2-dihydrodibenzothiophene",1
C06722,"1,2-Dihydroxydibenzothiophene",1
C06723,"6-Carboxyhex-2-enoyl-CoA|2,3-Didehydro-pimeloyl-CoA",2
C06725,"5,6-Dihydroxy-3-methyl-2-oxo-1,2-dihydroquinoline",1
C06726,"5,6-Dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline",1
C06727,"cis-1,2-Dihydro-3-ethylcatechol|cis-2,3-Dihydroxy-2,3-dihydroethylbenzene|cis-3-Ethyl-cyclohexa-3,5-diene-1,2-diol",2
C06728,"3-Ethylcatechol|2,3-Dihydroxyethylbenzene|3-Ethyl-benzene-1,2-diol",2
C06729,"cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate|4-Methylcyclohexa-3,5-diene-1,2-cis-diol-1-carboxylic acid",4
C06730,"4-Methylcatechol|3,4-Dihydroxytoluene|1,2-Dihydroxy-4-methylbenzene|4-Methyl-1,2-benzenediol",7
C06731,"1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate",2
C06732,"alpha,beta-Didehydrotryptophan",1
C06733,8'-apo-beta-Carotenol,1
C06734,14'-apo-beta-Carotenal,1
C06735,Aminoacetaldehyde|2-Aminoacetaldehyde,2
C06736,(E)-11-Tetradecenoyl-CoA|(11E)-Tetradecenoyl-CoA,2
C06737,(Z)-11-Tetradecenoyl-CoA|(11Z)-Tetradecenoyl-CoA,2
C06738,cis-p-Coumarate,1
C06739,4'-O-beta-D-Glucosyl-cis-p-coumarate,1
C06740,Glucosyl-limonin|Limonin 17-beta-D-glucoside,2
C06741,Feruloyl-polysaccharide,1
C06742,2'-Hydroxybiphenyl-2-sulfinate|2-(2-Hydroxyphenyl)benzenesulfinate,1
C06743,Poly(ADPribose),0
C06744,3-Deoxyoctulosonyl-lipopolysaccharide,1
C06746,N-(2-Phenylethyl)-acetamide|N-Acetylphenylethylamine|N-Acetyl-2-phenylethylamine,1
C06747,Phenylmethanesulfonyl fluoride|Benzenemethanesulfonyl fluoride|PMSF,0
C06748,Isopropylamine|2-Aminopropane|Monoisopropylamine|2-Propanamine,1
C06749,6-Hydroxycyclohex-1-ene-1-carbonyl-CoA|6-Hydroxycyclohex-1-enecarbonyl-CoA|6-Hydroxycyclohex-1-ene-1-carboxyl-CoA,3
C06751,Prenyl-L-cysteine|S-Prenyl-L-cysteine,1
C06752,"1,2-Dichloroethane|Ethylene dichloride|Glycol dichloride|Dutch liquid",1
C06753,2-Chloroethanol|Ethylene chlorohydrin|Glycol chlorohydrin,3
C06754,Chloroacetaldehyde|2-Chloroethanal,6
C06755,Chloroacetic acid|Chloroethanoic acid,4
C06756,"p-Xylene|1,4-Dimethylbenzene|p-Methyltoluene",1
C06757,4-Methylbenzyl alcohol|alpha-Hydroxy-p-xylene|4-Tolylcarbinol,2
C06758,p-Tolualdehyde|p-Methylbenzaldehyde|4-Methylbenzaldehyde|4-Toluylaldehyde|p-Formyltoluene,2
C06760,"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde|(2E,4Z)-2-Hydroxy-5-methyl-6-oxohexa-2,4-dienoate",4
C06761,(4E)-2-Oxohexenoic acid|2-Oxohex-trans-4-enoate,2
C06762,4-Hydroxy-2-oxohexanoic acid|4-Hydroxy-2-oxohexanoate,4
C06763,Nojirimycin|5-Amino-5-deoxy-D-glucopyranose,0
C06764,Tetranactin,0
C06765,Flavomycin|Bambermycin|Moenomycin A,0
C06767,Hemine|Hemin,0
C06769,Vibriobactin,0
C06770,Actinomycin D|Dactinomycin,0
C06771,Triethanolamine|Trolamine,1
C06772,Diethanolamine,2
C06773,11-O-Demethylpradinone II,0
C06774,11-O-Demethyl-7-methoxypradinone II,0
C06775,11-O-Demethylpradinone I,0
C06776,11-O-Demethylpradimicinone I,0
C06777,Pradimicinone I,0
C06778,11-O-Demethylpradimicinone II|Benamicin C,0
C06779,11-O-Demethyl-7-methoxypradimicinone II,0
C06780,Pradimicinone II,0
C06781,7-Methoxypradimicinone II,0
C06782,7-Hydroxylpradimicin A,0
C06783,Pradimicin B,0
C06784,Pradimicin A,0
C06785,Dexylosylpradimicin C,0
C06786,Pradimicin C|Benanomicin B,0
C06787,Dexylosylbenanomicin A,0
C06788,Benanomicin A,0
C06789,Tetrachloroethene|Perchloroethylene|PCE,2
C06790,Trichloroethene|Trichloroethylene|TCE,12
C06791,"trans-1,2-Dichloroethene|trans-Acetylene dichloride",2
C06792,"cis-1,2-Dichloroethene|cis-Acetylene dichloride",2
C06793,Vinyl chloride|Chloroethylene,3
C06799,Granaticin,0
C06800,Aflatoxin B1,5
C06801,Tetracenomycin C,1
C06802,Acarbose,0
C06803,Acebutolol,0
C06804,Acetaminophen|Paracetamol,0
C06805,Acetazolamide,0
C06806,Acetohexamide,0
C06807,Acetophenazine,0
C06808,Acetohydroxamic acid,0
C06809,Acetylcysteine|N-Acetyl-L-cysteine,1
C06810,Acyclovir|Aciclovir,0
C06812,Lincomycin,0
C06813,Nitrobenzene|Nitrobenzol,2
C06814,D-Xylose-5-phosphate,0
C06817,Alprazolam,0
C06818,Amantadine,0
C06819,Amifostine,0
C06820,Amikacin,0
C06821,Amiloride,0
C06823,Amiodarone,0
C06824,Amitriptyline,0
C06825,Amlodipine,0
C06827,Amoxicillin|Amoxicillin anhydrous,0
C06830,Anisotropine methylbromide|Methyloctatropine bromide,0
C06831,Dithranol|Anthralin,0
C06832,Astemizole,0
C06834,Atorvastatin,0
C06835,Atovaquone|Acuvel|Wellvone|Mepron,0
C06837,Azathioprine,1
C06838,Azithromycin,0
C06839,Azlocillin,0
C06840,Aztreonam|Monobactam,0
C06842,Beclomethasone,0
C06843,Benazepril,0
C06846,Benztropine|Benzatropine,0
C06847,Bepridil,0
C06848,Betamethasone,0
C06849,Betaxolol,0
C06850,Bethanechol,0
C06852,Bisoprolol,0
C06853,Bitolterol,0
C06854,Bleomycin A2,0
C06855,Bretylium,0
C06856,Bromocriptine,0
C06857,Brompheniramine,0
C06860,Bupropion,0
C06861,Buspirone,0
C06862,Busulfan,0
C06863,Butorphanol,0
C06865,Calcitonin|Cibacalcin,0
C06866,Capsaicin,1
C06868,Carbamazepine,3
C06869,Carbenicillin,0
C06870,Carbidopa-levodopa,0
C06871,Carbinoxamine,0
C06872,Carboprost,0
C06873,Carmustine|Bischloroethyl nitrosourea|BCNU,0
C06874,Carteolol,0
C06875,Carvedilol,0
C06876,Nitrosobenzene,2
C06877,Cefaclor,0
C06878,Cefadroxil,0
C06879,Cefamandole,0
C06880,Cefazolin,0
C06881,Cefixime,0
C06882,Cefonicid,0
C06883,Cefoperazone,0
C06884,Ceforanide,0
C06885,Cefotaxime,0
C06886,Cefotetan,0
