"KO","Flux Value","Reaction Abbreviation","Reaction Name","Reaction Equation (Metabolite Abbreviation)","Reversible","Lower Bound","Upper Bound","Biological Objective","Synthetic Objective","Gene Association","Protein Association","Subsystem","Protein Class","GPR","Genes","Protein","Confidence Score","EC. Number"
"false","0.0","R_TH2EACP"," ","M_hpacp_p --> M_h2o_p + M_th2eacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143"," "," ","2","4.2.1.58"
"false","0.0","R_HDEACACP"," ","M_th2eacp_p + M_nadh_p + M_h_p --> M_nad_p + M_hdeacacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_OSTACP"," ","M_hdeacacp_p + M_malonylacp_p --> M_co2_p + M_acp_p + M_ostacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52648"," "," ","2","2.3.1.41"
"false","0.0","R_HOTDACP"," ","M_ostacp_p + M_nadph_p + M_h_p --> M_nadp_p + M_hotdacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","13073, 47583"," "," ","2","1.1.1.100"
"false","0.0","R_TOD2EACP"," ","M_hotdacp_p --> M_h2o_p + M_tod2eacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","1143, 55157"," "," ","2","4.2.1.58"
"false","0.0","R_ODECACP"," ","M_tod2eacp_p + M_nadh_p + M_h_p --> M_nad_p + M_odecacp_p","false","0.0","1000.0","0.0","0.0"," "," "," "," ","10068, 47536"," "," ","2","1.3.1.9"
"false","0.0","R_PALM"," ","M_hdeacacp_p + M_h2o_p --> M_acp_p + M_palm_p","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_PALMCOA"," ","M_palm_p + M_coa_p + M_atp_p <==> M_palmcoa_p + M_amp_p + M_ppi_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Possibly beta-oxidation of polyunsaturated fatty acids"," ","45510(other), 20143(S), 54151(M), 17720(peroxisome?)"," "," ","2","6.2.1.3, r01280"
"false","0.0","R_MYR"," ","M_tdacp_p + M_h2o_p --> M_acp_p + M_myr_p","false","0.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","2"," "
"false","0.0","R_MYRCOA"," ","M_myr_p + M_coa_p + M_atp_p <==> M_myrcoa_p + M_amp_p + M_ppi_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","45510(other), 20143(S), 54151(M), 17720(peroxisome?)"," "," ","2","6.2.1.3"
"false","0.0","R_GLYCOXRED","D-Glyceraldehyde:NAD+ oxidoreductase","M_glyt_p + M_nadh_p + M_h_p <==> M_gald_p + M_nad_p + M_h2o_p","true","-1000.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","16540"," "," ","2","1.2.1.3"
"false","0.0","R_ALR1","Glycerol:NADP+ oxidoreductase/alcohol dehydrogenase","M_gald_p + M_nadph_p + M_h_p <==> M_glyc_p + M_nadp_p","true","-1000.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","41470"," "," ","2","1.1.1.2"
"false","0.0","R_ALR2","aldehyde reductase","M_gald_p + M_nadh_p + M_h_p <==> M_glyc_p + M_nad_p","true","-1000.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","11273"," "," ","2","1.1.1.21"
"false","0.0","R_GLYCKIN","glycerol kinase","M_atp_p + M_glyc_p --> M_adp_p + M_glyl3p_p","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","50770"," "," ","2","2.7.1.30"
"false","0.0","R_EX_ACYLP"," ","M_acp_p <==> M_acp_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_G3PAT","glycerol-3-phosphate O-acyltransferase","M_glyl3p_p + M_palmcoa_p --> M_ag3pi_p + M_coa_p","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","50031"," "," ","2","2.3.1.15"
"false","0.0","R_1AG3PAT","1-acyl-sn-glycerol-3-phosphate acyltransferase","M_ag3pi_p + M_palmcoa_p --> M_dag3pi_p + M_coa_p","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","11916"," "," ","2","2.3.1.51"
"false","0.0","R_DGK","diacylglycerol kinase","M_atp_p + M_dag12_p --> M_adp_p + M_dag3pi_p","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","14202"," "," ","2","2.7.1.107"
"false","0.0","R_TAGLIP","triacylglycerol lipase","M_tag_m + M_h2o_m --> M_cooh_m + M_dag_m","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","46570"," "," ","2","3.1.1.3"
"false","0.0","R_DAG3P","phosphatic acid phosphatase","M_dag3pi_p + M_h2o_p --> M_dag12_p + M_pi_p","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","40261"," "," ","1","3.1.3.4"
"false","0.0","R_DGAT","diacylglycerol acyltransferase","M_dag12_p + M_myrcoa_p --> M_tag_p + M_coa_p","false","0.0","1000.0","0.0","0.0"," "," ","glycerolipid"," ","9794 or 43469 or 49544"," "," ","2","2.3.1.20"
"false","0.0","R_T_DAG12"," ","M_dag12_p <==> M_dag12_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_ATPADP_P"," ","M_atp_p + M_h2o_p --> M_pi_p + M_adp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_DADP_P"," ","M_datp_p + M_h2o_p --> M_pi_p + M_dadp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_CTPCDP_P"," ","M_ctp_p + M_h2o_p --> M_pi_p + M_cdp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_DCDP_P"," ","M_dctp_p + M_h2o_p --> M_pi_p + M_dcdp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_UDP_P"," ","M_utp_p + M_h2o_p --> M_pi_p + M_udp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_DUDP_P"," ","M_dutp_p + M_h2o_p --> M_pi_p + M_dudp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_GDP_P"," ","M_gtp_p + M_h2o_p --> M_pi_p + M_gdp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_DGDP_P"," ","M_dgtp_p + M_h2o_p --> M_pi_p + M_dgdp_p","false","0.0","1000.0","0.0","0.0"," "," ","pyrimidine"," ","atpD"," "," ","2","3.6.1.15"
"false","0.0","R_GLURS","glutamyl-tRNA synthetase","M_trnaglu_c + M_glu_c + M_atp_c --> M_ppi_c + M_amp_c + M_glutrna_c","false","0.0","1000.0","0.0","0.0"," "," "," "," ","52655 or 51430"," "," ","2"," "
"false","0.0","R_T_GLUTRNA"," ","M_glutrna_c <==> M_glutrna_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_TRNAGLU"," ","M_trnaglu_c <==> M_trnaglu_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_GLUTRR"," ","M_glutrna_p + M_nadph_p + M_h_p --> M_glu1sa_p + M_trnaglu_p + M_nadp_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","54134"," "," ","2","1.2.1.70"
"false","0.0","R_HEML"," ","M_glu1sa_p --> M_5aop_p + M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","50966"," "," ","2","5.4.3.8"
"false","0.0","R_HEMB"," ","2 M_5aop_p + M_h_p --> M_ppbng_p + 2 M_h2o_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","50723"," "," ","2","4.2.1.24"
"false","0.0","R_HEMC"," ","4 M_ppbng_p + M_h2o_p --> M_hmbil_p + 4 M_nh3_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","51811"," "," ","2","2.5.1.61"
"false","0.0","R_HEMD"," ","M_hmbil_p --> M_uppg3_p + M_h2o_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","44610"," "," ","2","4.2.1.75"
"false","0.0","R_HEME"," ","M_uppg3_p + 4 M_h_p --> M_cpppg3_p + 4 M_co2_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","16140, 20757, 19188"," "," ","2","4.1.1.37"
"false","0.0","R_HEMF"," ","M_cpppg3_p + 2 M_o2_p + 2 M_h_p --> M_pppg9_p + 2 M_co2_p + 2 M_h2o2_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","12186, 15068, 10640"," "," ","2","1.3.3.3"
"false","0.0","R_HEMN"," ","M_cpppg3_p + 2 M_o2_p + 2 M_h_p --> M_pppg9_p + 2 M_co2_p + 2 M_met_p + 2 M_5deoade_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","43572"," "," ","2","1.3.99.22"
"false","0.0","R_HEMY"," ","M_pppg9_p + 3 M_o2_p --> M_ppp9_p + 3 M_h2o2_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","31109"," "," ","2","1.3.3.4"
"false","0.0","R_EX_H2O2_P"," ","M_h2o2_p <==> ","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_EX_MG2"," ","M_mg2_c <==> ","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_MG2"," ","M_mg2_c <==> M_mg2_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_CHLH"," ","M_atp_p + M_ppp9_p + M_mg2_p + M_h2o_p --> M_adp_p + M_pi_p + M_mppp9_p + 2 M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","13265, 56602, 50740, CHLI"," "," ","2","6.6.1.1"
"false","0.0","R_T_ADLMET_CP","S-Adenosyl-L-methionine transfer","M_adlmet_c <==> M_adlmet_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_AHCYS","S-Adenosyl-L-homocysteine transfer","M_ahcys_p <==> M_ahcys_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_AHCY"," ","M_ahcys_c + M_h2o_c --> M_aden_c + M_homocys_c","false","0.0","1000.0","0.0","0.0"," "," "," "," ","18319"," "," ","2","3.3.1.1"
"false","0.0","R_HMCYS"," ","M_cysth_c + M_h2o_c <==> M_nh3_c + M_pyr_c + M_homocys_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","14962"," "," ","2","4.4.1.8"
"false","0.0","R_DCM"," ","M_adlmet_c + M_dna_c --> M_ahcys_c + M_dna5mc_c","false","0.0","1000.0","0.0","0.0"," "," ","methionine degradation, DNA methylation"," ","16674, 47357"," "," ","2","2.1.1.37"
"false","0.0","R_MPMT"," ","M_adlmet_p + M_mppp9_p --> M_ahcys_p + M_mppp9me_p + M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","18872"," "," ","2","2.1.1.11"
"false","0.0","R_BCH1"," ","M_mppp9me_p + M_nadph_p + M_h2o_p --> M_hmppp9me_p + M_nadp_p + 3 M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," "," "," "," ","2","BchE, 1.14.13.-"
"false","0.0","R_BCH2"," ","M_hmppp9me_p + M_nadph_p --> M_omppp9me_p + M_nadp_p + 3 M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," "," "," "," ","2","BchE"
"false","0.0","R_BCH3"," ","M_omppp9me_p + M_nadph_p --> M_dvpchlda_p + M_nadp_p + 3 M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," "," "," "," ","2","BchE"
"false","0.0","R_BCHJ"," ","M_dvpchlda_p + M_nadph_p + M_h_p --> M_pchlda_p + M_nadp_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","30690"," "," ","2","1.3.1.75"
"false","0.0","R_POR1"," ","M_dvpchlda_p + M_nadph_p + M_h_p --> M_nadp_p + M_dvchlda_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","56588, 56608, 43164"," "," ","2","1.3.1.33"
"false","0.0","R_POR2"," ","M_pchlda_p + M_nadph_p + M_h_p --> M_nadp_p + M_chlda_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","56588, 56608, 43164"," "," ","2","1.3.1.33"
"false","0.0","R_CHLG"," ","M_chlda_p + M_pdp_p --> M_chla_p + M_ppi_p + M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","Porphyrin and chlorophyll metabolism"," ","46085"," "," ","2","2.5.1.62"
"false","0.0","R_T_CTP_CP"," ","M_ctp_c <==> M_ctp_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_T_CMP_CP"," ","M_cmp_c <==> M_cmp_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_DXS"," ","M_g3p_p + M_pyr_p --> M_co2_p + M_dxyl5p_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","bd1689"," "," ","2","2.2.1.7"
"false","0.0","R_DXR"," ","M_dxyl5p_p + M_nadph_p + M_h_p --> M_met4p_p + M_nadp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","43204"," "," ","2","1.1.267"
"false","0.0","R_ISPD"," ","M_met4p_p + M_ctp_p --> M_ppi_p + M_cmet4p_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","21829"," "," ","2","2.7.7.60"
"false","0.0","R_ISPE"," ","M_cmet4p_p + M_atp_p --> M_pcmet4p_p + M_adp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","51700"," "," ","2","27.1.148"
"false","0.0","R_ISPF"," ","M_pcmet4p_p --> M_cmp_p + M_mecdp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","56610"," "," ","2","4.6.1.12"
"false","0.0","R_ISPG"," ","M_mecdp_p + 2 M_rfdx_p --> 2 M_ofdx_p + M_h2o_p + M_hmbdp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","44955"," "," ","2","1.17.7.1"
"false","0.0","R_ATOB"," ","2 M_acca_c <==> M_coa_c + M_acetotylcoa_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","23913"," "," ","2","2.3.1.9"
"false","0.0","R_HMCOA"," ","M_acca_c + M_h2o_c + M_acetotylcoa_c --> M_coa_c + M_hmcoa_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","16649"," "," ","2","2.3.3.10"
"false","0.0","R_MELV"," ","M_hmcoa_c + 2 M_nadph_c + 2 M_h_c --> M_coa_c + 2 M_nadp_c + M_melv_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","16870"," "," ","2","1.1.1.34"
"false","0.0","R_MVK"," ","M_melv_c + M_atp_c --> M_adp_c + M_pmv_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","53929"," "," ","2","2.7.1.36"
"false","0.0","R_MVAK2"," ","M_pmv_c + M_atp_c --> M_adp_c + M_dpmv_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," "," "," "," ","1","2.7.4.2"
"false","0.0","R_MVD"," ","M_atp_c + M_dpmv_c --> M_adp_c + M_pi_c + M_ispdp_c + M_co2_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","bd1325"," "," ","2","4.1.1.33"
"false","0.0","R_ISPH"," ","M_hmbdp_p + M_nadph_p + M_h_p --> M_nadp_p + M_h2o_p + M_ispdp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","50808"," "," ","2","1.17.1.2"
"false","0.0","R_ISPH2"," ","M_hmbdp_p + M_nadh_p + M_h_p --> M_nad_p + M_h2o_p + M_ispdp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","50808"," "," ","2","1.17.1.2"
"false","0.0","R_ISPH_1"," ","M_hmbdp_p + M_nadph_p + M_h_p --> M_nadp_p + M_h2o_p + M_dmpp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","50808"," "," ","2","1.17.1.2"
"false","0.0","R_ISPH2_1"," ","M_hmbdp_p + M_nadh_p + M_h_p --> M_nad_p + M_h2o_p + M_dmpp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","50808"," "," ","2","1.17.1.2"
"false","0.0","R_IDI"," ","M_ispdp_c <==> M_dmpp_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","12533, 12972"," "," ","2","5.3.3.2"
"false","0.0","R_FDPS"," ","M_dmpp_c + M_ispdp_c --> M_ppi_c + M_gpp_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","47271"," "," ","2","2.5.1.1"
"false","0.0","R_FDPS2"," ","M_gpp_c + M_ispdp_c --> M_ppi_c + M_tfdp_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","47271"," "," ","2","2.5.1.10"
"false","0.0","R_GGDP"," ","M_tfdp_c + M_ispdp_c --> M_ppi_c + M_ggdp_c","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","47271"," "," ","2","2.5.1.29"
"false","0.0","R_T_GGDP_CP"," ","M_ggdp_c <==> M_ggdp_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," "," "," "," ","1"," "
"false","0.0","R_IDI_P"," ","M_ispdp_p <==> M_dmpp_p","true","-1000.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","12533, 12972"," "," ","2","5.3.3.2"
"false","0.0","R_FDPS_P"," ","M_dmpp_p + M_ispdp_p --> M_ppi_p + M_gpp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","19000"," "," ","2","2.5.1.1"
"false","0.0","R_FDPS2_P"," ","M_gpp_p + M_ispdp_p --> M_ppi_p + M_tfdp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","19000"," "," ","2","2.5.1.10"
"false","0.0","R_GGDP_P"," ","M_tfdp_p + M_ispdp_p --> M_ppi_p + M_ggdp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","19000"," "," ","2","2.5.1.29"
"false","0.0","R_CHLP"," ","M_ggdp_p + 3 M_h_p + 3 M_nadph_p --> M_pdp_p + 3 M_nadp_p","false","0.0","1000.0","0.0","0.0"," "," ","Terpenoid backbone synthesis"," ","50650"," "," ","2","1.3.1.83"
"false","0.0","R_CDS1"," ","M_phytol_p + M_ctp_p --> M_cdp_p + M_pmp_p + M_h_p","false","0.0","1000.0","0.0","0.0"," "," ","phytol salvage pathway"," ","54756"," "," ","2","2.7.1.-"
"false","0.0","R_PDP"," ","M_pmp_p + M_atp_p --> M_pdp_p + M_adp_p","false","0.0","1000.0","0.0","0.0"," "," ","phytol salvage pathway"," "," "," "," ","1","2.7.4.-"
"false","0.0","R_TUFA_P"," ","M_gtp_p + M_h2o_p <==> M_gdp_p + M_pi_p + M_h_p","true","0.0","0.0","0.0","0.0"," "," "," "," ","tufA"," "," ","2","3.6.5.3"
"false","0.0","R_TUFA"," ","M_gtp_c + M_h2o_c <==> M_gdp_c + M_pi_c + M_h_c","true","0.0","0.0","0.0","0.0"," "," "," "," ","28737 or 35766 or 11189"," "," ","2","3.6.5.3"
"false","0.0","R_GAPDH","glyceraldehyde-3-phosphate dehydrogenase","M_g3p_c + M_pi_c + M_nad_c <==> M_3pgPi_c + M_nadh_c + M_h_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis"," ","32747 or 25"," "," ","2","1.2.1.12"
"false","0.0","R_PGK","phosphoglycerate kinase","M_adp_c + M_3pgPi_c <==> M_atp_c + M_gly3p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis"," ","51125"," "," ","2","2.7.2.3"
"false","0.0","R_GPDH","glucose-6-phosphate dehydrogenase","M_g6p_c + M_nadp_c --> M_gluc15lac6p_c + M_nadph_c + M_h_c","false","0.0","1000.0","0.0","0.0"," "," ","OPP, Pentose phosphate pathway, oxidative phase"," ","30040"," "," ","2","1.1.1.49"
"false","0.0","R_PGL","6-Phospho-D-glucono-1,5-lactone lactonohydrolase","M_gluc15lac6p_c + M_h2o_c --> M_p6gluc_c","false","0.0","1000.0","0.0","0.0"," "," ","OPP, Pentose phosphate pathway, oxidative phase"," ","44009, 31882, 38631, 8691"," "," ","2","3.1.1.31"
"false","0.0","R_GSSG_C"," ","M_h2o2_c + 2 M_glut_c --> 2 M_h2o_c + M_gssg_c","false","0.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","13005"," "," ","2","1.11.1.9"
"false","0.0","R_GSSG_M"," ","M_h2o2_m + 2 M_glut_m --> 2 M_h2o_m + M_gssg_m","false","0.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","48636"," "," ","2","1.11.1.9"
"false","0.0","R_GSR","glutathione reductase","M_gssg_c + M_nadph_c --> M_nadp_c + M_glut_c","false","0.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","35819"," "," ","2","1.8.1.7"
"false","0.0","R_GGT"," ","M_glut_c + M_h2o_c <==> M_glu_c + M_cysgly_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","44775"," "," ","2","2.3.2.2"
"false","0.0","R_GGTP"," ","M_glut_p + M_h2o_p <==> M_glu_p + M_cysgly_p","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","19513"," "," ","2","2.3.2.2"
"false","0.0","R_ANPEP"," ","M_cysgly_c + M_h2o_c --> M_cys_c + M_gly_c","false","0.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","29309"," "," ","2","3.4.11.2"
"false","0.0","R_GCLC"," ","M_cys_m + M_glu_m + M_atp_m --> M_adp_m + M_pi_m + M_glucys_m","false","0.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","27240"," "," ","2","6.3.2.2"
"false","0.0","R_GSHB"," ","M_gly_c + M_glucys_c + M_atp_c --> M_adp_c + M_pi_c + M_glut_c","false","0.0","1000.0","0.0","0.0"," "," ","Glutathione"," ","25876"," "," ","2","6.3.2.3"
"false","0.0","R_PGDH","phosphogluconate dehydrogenase (decarboxylating)","M_p6gluc_c + M_nadp_c --> M_ru5p_c + M_co2_c + M_nadph_c + M_h_c","false","0.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, oxidative phase, glutathione"," ","45333, 26934"," "," ","2","1.1.1.44"
"false","0.0","R_T_RU5P_CP","ribulose-5-phosphate transport","M_ru5p_c + M_pi_p <==> M_ru5p_p + M_pi_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Transfer"," "," "," "," ","1"," "
"false","0.0","R_RPE","ribulose-phosphate 3-epimerase","M_ru5p_c <==> M_xu5p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","20015"," "," ","2","5.1.3.1"
"false","0.0","R_TKL","transketolase","M_xu5p_c + M_r5p_c <==> M_s7p_c + M_g3p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","29260, 292"," "," ","2","2.2.1.1"
"false","0.0","R_TAL","transaldolase","M_s7p_c + M_g3p_c <==> M_e4p_c + M_f6p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","28222"," "," ","2","2.2.1.2"
"false","0.0","R_TKL2","transketolase","M_e4p_c + M_xu5p_c <==> M_f6p_c + M_g3p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","29260, 292"," "," ","2","2.2.1.1"
"false","0.0","R_FBA","fructose-bisphosphate aldolase class I","M_gp_c + M_g3p_c <==> M_f16p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","29014, 42447, 51289"," "," ","2","4.1.2.13"
"false","0.0","R_FBP","FBPase","M_f16p_c + M_h2o_c --> M_f6p_c + M_pi_c","false","0.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","23247, 3145, 232"," "," ","2","3.1.3.11"
"false","0.0","R_GPI","glucose-6-phosphate isomerase","M_f6p_c <==> M_g6p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Pentose phosphate pathway, non-oxidative phase"," ","5651, 23924, 53878, 16722, 23988"," "," ","2","5.3.1.9"
"false","0.0","R_AL","aldolase","M_e4p_c + M_gp_c <==> M_sh17bp_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","29014, 42447, 51289"," "," ","2","4.1.2.13"
"false","0.0","R_SBP","sedoheptulose 1,7-bisphosphatase","M_sh17bp_c + M_h2o_c --> M_s7p_c + M_pi_c","false","0.0","1000.0","0.0","0.0"," "," "," "," ","56467"," "," ","2","3.1.3.37"
"false","0.0","R_TPI","triose-phosphate isomerase","M_g3p_c <==> M_gp_c","true","-1000.0","1000.0","0.0","0.0"," "," "," "," ","54738"," "," ","2","5.3.1.1"
"false","0.0","R_PFP","pyrophosphate dependent phosphofrucktinase","M_f6p_c + M_ppi_c <==> M_pi_c + M_f16p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis IV"," ","50424, 5512, 51286, 55126"," "," ","2","2.7.1.90"
"false","0.0","R_PEPC1","phosphoenolpyruvate carboxylase","M_h2o_c + M_pep_c + M_hco3_c --> M_pi_c + M_oxaloacet_c","false","0.0","1000.0","0.0","0.0"," "," ","C4"," ","51136"," "," ","2","4.1.1.31"
"false","0.0","R_PGM","phosphoglucomutase","M_r1p_c <==> M_r5p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis"," ","50444"," "," ","2","5.4.2.2"
"false","0.0","R_PGM_1","phosphoglucomutase","M_g1p_c <==> M_g6p_c","true","-1000.0","1000.0","0.0","0.0"," "," ","Glycolysis"," ","50444"," "," ","2","5.4.2.2"
"false","0.0","R_PFK","Phosphofructinase 1","M_atp_c + M_f6p_c --> M_adp_c + M_f16p_c + M_h_c","false","0.0","1000.0","0.0","0.0"," "," ","Glycolysis"," ","47690"," "," ","2","2.7.1.11"
