Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn149,1.3.3.1,geneCsal1342,dihydoorotic acid dehydrogenase, dhorS + o2 <-> h2o2 + orot,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn150,1.3.3.1,geneCsal1342,dihydoorotic acid dehydrogenase (quinone8), dhorS + q8 -> orot + q8h2,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn151,1.3.3.1,geneCsal1342,dihydoorotic acid (ubiquinone-6),dhorS + q6 <-> orot + q6h2,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn152,1.3.3.1,geneCsal1342,dihydroorotic acid (menaquinone-8), dhorS + mqn8 -> mql8 + orot,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn153,1.3.3.3,geneCsal2863,coproporphyrinogen oxidase (O2 required), cpppg3 + (2) h + o2 -> (2) co2 + (2) h2o + pppg9,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn154,1.3.3.4,geneCsal0796,protoporphyrinogen oxidase (aerobic), (1.5) o2 + pppg9 -> (3) h2o + ppp9,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn155,1.3.3.4,geneCsal0796,protoporphyrinogen oxidase (anaerobic), (3) fum + pppg9 -> ppp9 + (3) succ,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn156,1.3.5.1,geneCsal1216,succinate dehydrogenase (ubiquinone-6), q6 + succ <-> fum + q6h2,Citrate cycle (TCA cycle),"51, 50, 33, 28",,,,
rxn157,1.3.5.1,geneCsal1216,succinate dehydrogenase (ubiquinone-6), fadh2 + q6 <-> fad + q6h2,Oxidative phosphorylation,"51, 50, 33, 28",,,,
rxn158,1.3.99.1,geneCsal1215,fumarate reductase, fadh2 + fum -> fad + succ,Citrate cycle (TCA cycle),"51, 50, 33, 34, 28, 39, 37",,,,
rxn159,1.3.99.1,geneCsal1215,succinate dehydrogenase, fad + succ <-> fadh2 + fum,Oxidative phosphorylation,"51, 50, 33, 34, 28, 39, 37",,,,
rxn160,1.3.99.1,geneCsal1215,succinate dehydrogenase, fad + succ -> fadh2 + fum,Benzoate degradation via CoA ligation,"51, 50, 33, 34, 28, 39, 37",,,,
rxn161,1.3.99.1,geneCsal1215,fumarate reductase, fum + mql8 -> mqn8 + succ,Butanoate metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn162,1.3.99.1,geneCsal1215,fumarate reductase, 2dmmql8 + fum -> 2dmmq8 + succ,Reductive carboxylate cycle (CO2 fixation),"51, 50, 33, 34, 28, 39, 37",,,,
rxn163,1.3.99.1,geneCsal1215,succinate dehydrogenase (irreversible), q8 + succ -> fum + q8h2,Two-component system - General,"51, 50, 33, 34, 28, 39, 37",,,,
rxn164,1.3.99.10,geneCsal2827,Isovaleryl-CoA dehydrogenase,3mbtcoa + acpt <-> 3mbut2ecoa + acptrd,"Valine, leucine and isoleucine degradation","52 , 54, 53",,,,
rxn165,1.3.99.2,geneCsal2431,acyl-CoA dehydrogenase (butanoyl-CoA), btcoa + fad <-> b2coa + fadh2,Fatty acid metabolism,"51, 50, 33, 34, 39",,,,
rxn166,1.3.99.20,geneCsal0528,4-hydroxybenzoyl-CoA reductase,bzcoa + acpt <-> 4hbzcoa + acptrd,Benzoate degradation via CoA ligation,"52 , 54, 53",,,,
rxn167,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (hexanoyl-CoA), fad + hxcoa <-> fadh2 + hx2coa,Fatty acid metabolism,"51, 50, 33, 34, 39",,,,
rxn168,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (octanoyl-CoA), fad + occoa <-> fadh2 + oc2coa,"Valine, leucine and isoleucine degradation","51, 50, 33, 34, 39",,,,
rxn169,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (decanoyl-CoA), dcacoa + fad <-> dc2coa + fadh2,beta-Alanine metabolism,"51, 50, 33, 34, 39",,,,
rxn170,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (dodecanoyl-CoA), ddcacoa + fad <-> dd2coa + fadh2,Propanoate metabolism,"51, 50, 33, 34, 39",,,,
rxn171,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (tetradecanoyl-CoA), fad + tdcoa <-> fadh2 + td2coa,Fatty acid metabolism,"51, 50, 33, 34, 39",,,,
rxn172,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (hexadecanoyl-CoA), fad + pmtcoa <-> fadh2 + hdd2coa,Fatty acid metabolism,"51, 50, 33, 34, 39",,,,
rxn173,1.3.99.3,geneCsal1510,acyl-CoA dehydrogenase (octadecanoyl-CoA), fad + stcoa <-> fadh2 + od2coa,Fatty acid metabolism,"51, 50, 33, 34, 39",,,,
rxn174,1.4.1.1,geneCsal2966,L-alanine dehydrogenase, alaL + h2o + nad -> h + nadh + nh4 + pyr,Taurine and hypotaurine metabolism,"51, 50, 39, 37",,,,
rxn175,1.4.1.13,geneCsal0616,glutamate synthase (NADPH), akg + glnL + h + nadph -> (2) gluL + nadp,Glutamate metabolism,"51, 50, 33, 34",,,,
rxn176,1.4.1.2,geneCsal1340,glutamate dehydrogenase (NAD), gluL + h2o + nad -> akg + h + nadh + nh4,Glutamate metabolism,"51, 50, 33, 28, 46, 39",,,,
rxn177,1.4.3.5,geneCsal1900,pyridoxamine 5'-phosphate oxidase, h2o + o2 + pyam5p -> h2o2 + nh4 + pydx5p,Vitamin B6 metabolism,"51, 50, 33, 34, 28",,,,
rxn178,1.4.3.5,geneCsal1900,pyridoxine 5'-phosphate oxidase, o2 + pdx5p <-> h2o2 + pydx5p,Vitamin B6 metabolism,"51, 50, 33, 34, 28",,,,
rxn179,1.4.3.5,geneCsal1900,pyridoxine oxidase, o2 + pydxn <-> h2o2 + pydx,Vitamin B6 metabolism,"51, 50, 33, 34, 28",,,,
rxn180,1.4.3.5,geneCsal1900,pyridoxal oxidase, (2) h2o + nh4 + (0.5) o2 + pydx <-> (2) h2o2 + pydam,Vitamin B6 metabolism,"51, 50, 33, 34, 28",,,,
rxn181,1.4.3.5,geneCsal1900,pyridoxine 5'-phosphate oxidase, o2 + pdx5p -> h2o2 + pydx5p,Vitamin B6 metabolism,"51, 50, 33, 34, 28",,,,
rxn182,1.4.4.2,geneCsal1811,glycine-cleavage complex (lipoamide), gly + h + lpam <-> alpam + co2,"Glycine, serine and threonine metabolism","51, 50, 33, 28, 39",,,,
rxn183,1.4.4.2,geneCsal1811,glycine-cleavage complex (lipoylprotein), gly + h + lpro <-> alpro + co2,"Glycine, serine and threonine metabolism","51, 50, 33, 28, 39",,,,
rxn184,1.4.7.1,geneCsal0615,glutamate synthase (ferredoxin), 2 gluL + 2 fdxox <-> glnL + akg + 2 fdxrd,Nitrogen metabolism,"52 , 54, 53",,,,
rxn185,1.4.99.1,geneCsal2708,D-Amino acid dehydrogenase, alaD + fad + h2o -> fadh2 + nh4 + pyr,Nitrogen metabolism,"51, 50, 33, 34, 37",,,,
rxn186,1.5.1.2,geneCsal3055,pyrroline-5-carboxylate reductase, 1pyr5c + (2) h + nadph -> nadp + proL,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn187,1.5.1.2,geneCsal3055,L-hydroxyproline reductase (NAD), 1p3h5c + (2) h + nadh -> 4hproLT + nad,Arginine and proline metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn188,1.5.1.2,geneCsal3055,L-hydroxyproline reductase (NADP), 1p3h5c + (2) h + nadph -> 4hproLT + nadp,Arginine and proline metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn189,1.5.1.3,geneCsal2571,dihydrofolate reductase, dhf + h + nadph <-> nadp + thf,Metabolism of Cofactors and Vitamins,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn190,1.5.1.3,geneCsal2571,dihydrofolate reductase (irreversible), dhf + h + nadph -> nadp + thf,Metabolism of Cofactors and Vitamins,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn191,1.5.1.34,geneCsal0452,"6,7-dihydropteridine reductase",5678htd + nadp <-> 67htd + nadph,,"52 , 54, 53",,,,
rxn192,1.5.1.5,geneCsal2048,methylenetetrahydrofolate dehydrogenase (NADP), mlthf + nadp <-> h + methf + nadph,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn193,1.5.1.5,geneCsal2048,methylenetetrahydrofolate dehydrogenase (NADP), mlthf + nadp <-> methf + nadph,One carbon pool by folate,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn194,1.5.5.1,geneCsal1612,Electron-transferring-flavoprotein dehydrogenase,flrdP + q <-> flP + qh2,,"52 , 54, 53",,,,
rxn195,1.5.99.8,geneCsal1249,Proline dehydrogenase, fad + proL -> 1pyr5c + fadh2 + h,Arginine and proline metabolism,"51, 50, 33, 34, 39, 37",,,,
rxn196,1.6.1.1,geneCsal1577,NAD(P) transhydrogenase,(2) h + nadh + nadp -> (2) h + nad + nadph,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34",,,,
rxn197,1.6.1.2,geneCsal2492,nad(P)(+) transhydrogenase (AB-specific),nadph + nad <-> nadp + nadh,Nicotinate and nicotinamide metabolism,"52 , 54, 53",,,,
rxn198,1.6.2.4,geneCsal2696,nadph--hemoprotein reductase,nadph + nhPox <-> nadp + nhPrd,Sulfur metabolism,"52 , 54, 53",,,,
rxn199,1.6.5.3,geneCsal3126,NADH dehydrogenase (ubiquinone-8 ), h + nadh + q8 -> nad + q8h2,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn200,1.6.5.3,geneCsal3126,NADH dehydrogenase (ubiquinone-8 & 3.5 protons),(4.5) h + nadh + q8 -> (3.5) h + nad + q8h2,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn201,1.6.5.3,geneCsal3126,NADH dehydrogenase (menaquinone-8 & 2 protons),(3) h + mqn8 + nadh -> (2) h + mql8 + nad,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn202,1.6.5.3,geneCsal3126,NADH dehydrogenase (demethylmenaquinone-8 & 2.8 protons),2dmmq8 + (3.8) h + nadh -> 2dmmql8 + (2.8) h + nad,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn203,1.6.5.3,geneCsal3126,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons), 2dmmq8 + h + nadh -> 2dmmql8 + nad,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn204,1.6.5.3,geneCsal3126,NADH dehydrogenase (menaquinone-8 & 0 protons), h + mqn8 + nadh -> mql8 + nad,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn205,1.6.5.3,geneCsal3126,NADH dehydrogenase (ubiquinone-8 & 3 protons) ,(4) h + nadh + q8 -> (3) h + nad + q8h2,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn206,1.6.5.3,geneCsal3126,NADH dehydrogenase (menaquinone-8 & 3 protons) ,(4) h + mqn8 + nadh -> (3) h + mql8 + nad,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn207,1.6.5.3,geneCsal3126,NADH dehydrogenase (demethylmenaquinone-8 & 3 protons) ,2dmmq8 + (4) h + nadh -> 2dmmql8 + (3) h + nad,Oxidative phosphorylation,"51, 50, 33, 34,46, 39",,,,
rxn208,1.6.5.5,geneCsal1508,nadph:quinone reductase,nadph + q <-> nadp + sq,,"52 , 54, 53",,,,
rxn209,1.6.99.1,geneCsal0508,nadph dehydrogenase,nadph + acpt <-> nadp + acptrd,Xenobiotics Biodegradation and Metabolism,"52 , 54, 53",,,,
rxn210,1.6.99.2,geneCsal0147,nad(P)H dehydrogenase (quinone). ,nadph + qn <-> nadph + hqn,"NADH to cytochrome bd oxidase electron transfer , NADH to cytochrome bo oxidase electron transfer , aerobic respiration -- electron donor II , aerobic respiration -- electron donor III , NADH to nitrate electron transfer ","52 , 54, 53",,,,
rxn211,1.6.99.3,geneCsal2325,NADH dehydrogenase,h + nadh + q6 -> nad + q6h2,Oxidative phosphorylation,"51, 50, 33, 28",,,,
rxn212,1.6.99.5,geneCsal0901,NADH dehydrogenase (quinone),nadh + h + acpt -> nad + acptrd ,,"52 , 54, 53",,,,
rxn213,1.7.1.4,geneCsal1116,nitrite reductase (NADPH), (4) h + (3) nadph + no2 -> h2o + (3) nadp + nh4oh,Nitrogen metabolism,"51, 50, 39",,,,
rxn214,1.7.1.4,geneCsal1116,nitrite reductase (NADH), (4) h + (3) nadh + no2 -> h2o + (3) nad + nh4oh,Nitrogen metabolism,"51, 50, 39",,,,
rxn215,1.7.7.1,geneCsal1891,Ferredoxin--nitrite reductase,nh3 + (2) h2o + (6) fdox <-> no2 + (6) fdred + (7) h,Nitrogen metabolism,"52 , 54, 53",,,,
rxn216,1.7.99.4,geneCsal1331,Nitrate reductase (Ubiquinol-8),(2) h + no3 + q8h2 -> (2) h+ h2o + no2 + q8,Nitrogen metabolism,"51, 50, 33, 34, 39",,,,
rxn217,1.7.99.4,geneCsal1331,Nitrate reductase (Ubiquinol-8),no3 + q8h2 -> h2o + no2 + q8,Nitrogen metabolism,"51, 50, 33, 34, 39",,,,
rxn218,1.7.99.4,geneCsal1331,Nitrate reductase (Menaquinol-8) ,mql8 + no3 -> h2o + mqn8 + no2,Nitrogen metabolism,"51, 50, 33, 34, 39",,,,
rxn219,1.7.99.5,geneCsal0396,"5,10-methylenetetrahydrofolate reductase ",5mthf + nadph <-> mlthf + nadph,"formylTHF biosynthesis II , folate transformations , formylTHF biosynthesis I ","52 , 54, 53",,,,
rxn220,1.8.1.4,geneCsal1219,pyruvate dehydrogenase (dihydrolipoamide dehydrogenase), dhlam + nad -> h + lpam + nadh,Glycolysis / Gluconeogenesis,"51, 50, 33, 28, 39",,,,
rxn221,1.8.1.7,geneCsal1875,glutathione oxidoreductase, gthox + h + nadph -> (2) gthrd + nadp,Glutamate metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn222,1.8.1.7,geneCsal1875,glutathione oxidoreductase, gthox + h + nadph <-> (2) gthrd + nadp,Glutamate metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn223,1.8.1.8,geneCsal2592,Protein-disulfide reductase,Pdhl + nadp <-> Pds + nadph,Glutamate metabolism,"52 , 54, 53",,,,
rxn224,1.8.1.9,geneCsal2959,thioredoxin reductase (NADPH), h + nadph + trdox -> nadp + trdrd,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn225,1.8.4.6,geneCsal1350,Peptide-methionine (S)-S-oxide reductase,metL + trxds + h2o <-> SsometL + trx,,"52 , 54, 53",,,,
rxn226,1.8.4.8,geneCsal2427,phosphoadenylyl-sulfate reductase (thioredoxin), paps + trdrd -> (2) h + pap + so3 + trdox,Sulfur metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn227,1.8.4.8,geneCsal2427,phosphoadenylyl-sulfate reductase (glutaredoxin), grxrd + paps -> grxox + (2) h + pap + so3,Sulfur metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn228,1.8.7.1,geneCsal2695,Sulfite reductase (ferredoxin),h2s + (6) fdox + (3) h2o <-> so3 + (6) fdred + (6) h,Sulfur metabolism,"52 , 54, 53",,,,
rxn229,1.9.3.1,geneCsal0955,cytochrome c oxidase,(4) focytc + (6) h + o2 <-> (4) ficytc + (6) h + (2) h2o,Oxidative phosphorylation,"51, 50, 33, 28, 37",,,,
rxn230,1.97.1.9,geneCsal1330,Selenate reductase,selenite + h2o + acpt <-> selenate + acptrd,Nitrogen metabolism,"52 , 54, 53",,,,
rxn231,2.1.1.107,geneCsal1120,uroporphyrinogen methyltransferase, (2) amet + uppg3 -> (2) ahcys + dscl + h,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn232,2.1.1.13,geneCsal1889,methionine synthase, 5mthf + hcys-L -> metL + thf,Methionine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn233,2.1.1.13,geneCsal1889,methionine synthase, 5mthf + hcysL -> h + metL + thf,Methionine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn234,2.1.1.14,geneCsal0672,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase, hcysL + mhpglu -> hpglu + metL,Methionine metabolism,"51, 50, 33, 28, 39",,,,
rxn235,2.1.1.144,geneCsal1164,Trans-aconitate 2-methyltransferase,amet + aconT <-> ahcys + E3mcp2endt,,"52 , 54, 53",,,,
rxn236,2.1.1.17,geneCsal2810,phosphatidylethanolamine N-methyltransferase, amet + (0.01) pe_SC -> ahcys + h + (0.01) ptdmeeta,Glycerophospholipid metabolism,"51, 50, 33, 28",,,,
rxn237,2.1.1.31,geneCsal3014,tRNA (guanine-N(1)-)-methyltransferase,amet + trna <-> ahcys + trnaN1mgua,,"52 , 54, 53",,,,
rxn238,2.1.1.33,geneCsal3145,tRNA (guanine-N(7)-)-methyltransferase,amet + trna <-> ahcys + trnaN7mgua,,"52 , 54, 53",,,,
rxn239,2.1.1.34,geneCsal0887,tRNA guanosine-2'-O-methyltransferase,amet + trna <-> ahcys + trna2Omgsn,,"52 , 54, 53",,,,
rxn240,2.1.1.35,geneCsal1339,tRNA (uracil-5-)-methyltransferase.,amet + trna54uri <-> ahcys + trna54rthymd,,"52 , 54, 53",,,,
rxn241,2.1.1.45,geneCsal2572,thymidylate synthase, dump + mlthf -> dhf + dtmp,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn242,2.1.1.48,geneCsal0920,rRNA (adenine-N(6)-)-methyltransferase,amet + rrna <-> ahcys + rrnaN6made,,"52 , 54, 53",,,,
rxn243,2.1.1.5,geneCsal0065,Betaine--homocysteine S-methyltransferase,glyb + hcysL <-> dmgly + metL,"Glycine, serine and threonine metabolism","52 , 54, 53",,,,
rxn244,2.1.1.52,geneCsal2559,rRNA (guanine-N(2)-)-methyltransferase,amet + rrna <-> ahcys + rrnaN2mgua,"Glycine, serine and threonine metabolism","52 , 54, 53",,,,
rxn245,2.1.1.61,geneCsal2444,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,amet + trna <-> ahcys + trna5mam2thdylt,,"52 , 54, 53",,,,
rxn246,2.1.1.63,geneCsal2796,Methylated-DNA--[protein]-cysteine S-methyltransferase,dna6Omgua + PcysL <-> dnaw6Omgua + PSmcysL,,"52 , 54, 53",,,,
rxn247,2.1.1.64,geneCsal1858,3-demethylubiquinone-9 3-O-methyltransferase,amet + 3dmmq9 <-> ahcys + q9,Ubiquinone biosynthesis,"52 , 54, 53",,,,
rxn248,2.1.1.67,geneCsal2332,Thiopurine S-methyltransferase,amet + thprn <-> ahcys + thprnmetine,,"52 , 54, 53",,,,
rxn249,2.1.1.72,geneCsal1368,Site-specific DNA-methyltransferase (adenine-specific) ,amet + dnaade <-> ahcys + dna6map,Mismatch repair,"52 , 54, 53",,,,
rxn250,2.1.1.77,geneCsal2634,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,amet + PiaspL <-> ahcys + Piaspme,,"52 , 54, 53",,,,
rxn251,2.1.1.79,geneCsal0460,"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)", (2) amet + pe161 -> (2) ahcys + cpe160 + (2) h,Cyclopropane Fatty Acids Biosynthesis ,"51, 50, 33, 34",,,,
rxn252,2.1.1.79,geneCsal0460,"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)", (2) amet + pe181 -> (2) ahcys + cpe180 + (2) h,Cyclopropane Fatty Acids Biosynthesis ,"51, 50, 33, 34",,,,
rxn253,2.1.1.79,geneCsal0460,"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)", (2) amet + pg161 -> (2) ahcys + cpg160 + (2) h,Cyclopropane Fatty Acids Biosynthesis ,"51, 50, 33, 34",,,,
rxn254,2.1.1.79,geneCsal0460,"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)", (2) amet + pg181 -> (2) ahcys + cpg180 + (2) h,Cyclopropane Fatty Acids Biosynthesis ,"51, 50, 33, 34",,,,
rxn255,2.1.1.80,geneCsal2021,Protein-glutamate O-methyltransferase,amet + PgluL <-> ahcys + Pglume,Bacterial chemotaxis - General,"52 , 54, 53",,,,
rxn256,2.1.2.1,geneCsal2617,glycine hydroxymethyltransferase, serL + thf -> gly + h2o + mlthf,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn257,2.1.2.1,geneCsal2617,"glycine hydroxymethyltransferase, reversible", serL + thf <-> gly + h2o + mlthf,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn258,2.1.2.10,geneCsal1815,glycine cleavage system, gly + nad + thf -> co2 + mlthf + nadh + nh4,"Glycine, serine and threonine metabolism","51, 50, 33, 28, 39",,,,
rxn259,2.1.2.10,geneCsal1000,tetrahydrofolate aminomethyltransferase, h2o + methf -> 5fthf + h,"Glycine, serine and threonine metabolism","51, 50, 33, 28, 39",,,,
rxn260,2.1.2.10,geneCsal1815,glycine-cleavage system (lipoamide) irreversible, alpam + thf -> dhlam + mlthf + nh4,"Glycine, serine and threonine metabolism","51, 50, 33, 28, 39",,,,
rxn261,2.1.2.11,geneCsal3065,3-methyl-2-oxobutanoate hydroxymethyltransferase, 3mob + h2o + mlthf -> 2dhp + thf,Pantothenate and CoA biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn262,2.1.2.2,geneCsal2113,phosphoribosylglycinamide formyltransferase, 10fthf + gar <-> fgam + h + thf,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn263,2.1.2.2,geneCsal2113,"phosphoribosylglycinamide formyltransferase, irreversible", 10fthf + gar -> fgam + h + thf,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn264,2.1.2.3,geneCsal2289,phosphoribosylaminoimidazolecarboxamide formyltransferase, 10fthf + aicar <-> fprica + thf,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn265,2.1.2.9,geneCsal2868,Methionyl-tRNA formyltransferase, 10fthf + mettrna -> fmettrna + h + thf,Methionine metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn266,2.1.3.2,geneCsal0063,aspartate carbamoyltransferase, aspL + cbp -> cbasp + h + pi,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn267,2.1.3.3,geneCsal2130,ornithine carbamoyltransferase, cbp + orn <-> citrL + h + pi,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn268,2.1.3.3,geneCsal2130,"ornithine carbamoyltransferase, irreversible", cbp + orn -> citrL + h + pi,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn269,2.2.1.1,geneCsal0353,transketolase, r5p + xu5pD <-> g3p + s7p,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn270,2.2.1.1,geneCsal0353,transketolase, e4p + xu5pD <-> f6p + g3p,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn271,2.2.1.2,geneCsal0354,transaldolase, g3p + s7p <-> e4p + f6p,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn272,2.2.1.6,geneCsal0501,Acetolactate synthase,(2) pyr <-> alac + co2,"Valine, leucine and isoleucine biosynthesis","52 , 54, 53",,,,
rxn273,2.2.1.7,geneCsal0099,1-deoxy-D-xylulose-5-phosphate synthase,pyr + g3p  <-> dxyl5p + co2,Biosynthesis of steroids,"52 , 54, 53",,,,
rxn274,2.3.1.1,geneCsal0713,N-acetylglutamate synthase, accoa + gluL -> acglu + coa + h,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39",,,,
rxn275,2.3.1.109,geneCsal2806,Arginine succinyltransferase, argL + succoa -> coa + h + sucarg,Arginine and proline metabolism,"51, 50, 33, 34",,,,
rxn276,2.3.1.128,geneCsal2992,Ribosomal-protein-alanine N-acetyltransferase,accoa + ralaP <-> coa + racalaP,,"52 , 54, 53",,,,
rxn277,2.3.1.129,geneCsal0575,UDP-N-acetylglucosamine acyltransferase, 3hmrsACP + uacgam <-> ACP + u3aga,Lipopolysaccharide biosynthesis,"51, 50, 33, 34",,,,
rxn278,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C14:0), glyc3p + myrsACP -> 1tdecg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn279,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C16:0), glyc3p + palmACP -> 1hdecg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn280,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C18:0), glyc3p + ocdcaACP -> 1odecg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn281,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C14:1), glyc3p + tdeACP -> 1tdec7eg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn282,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C16:1), glyc3p + hdeACP -> 1hdec9eg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn283,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C18:1), glyc3p + octeACP -> 1odec11eg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn284,2.3.1.15,geneCsal0861,glycerol-3-phosphate acyltransferase (C12:0), ddcaACP + glyc3p -> 1ddecg3p + ACP,Glycerolipid metabolism,"51, 50, 33, 34",,,,
rxn285,2.3.1.16,geneCsal2392,"3-ketoacyl-CoA thiolase, peroxisomal", 3oacoa + coa -> accoa + acoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn286,2.3.1.16,geneCsal2392,"acetyl-CoA acyltransferase (hexadecanoyl-CoA), peroxisomal", 3ohodcoa + coa -> accoa + pmtcoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn287,2.3.1.16,geneCsal2392,"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal", 3ohdcoa + coa -> accoa + tdcoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn288,2.3.1.16,geneCsal2392,"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal", 3otdcoa + coa -> accoa + ddcacoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn289,2.3.1.16,geneCsal2392,"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal", 3oddcoa + coa -> accoa + dcacoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn290,2.3.1.16,geneCsal2392,"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal", 3odcoa + coa -> accoa + occoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn291,2.3.1.16,geneCsal2392,"acetyl-CoA acyltransferase (tetracosanoyl-CoA), peroxisomal", 3ohxccoa + coa -> accoa + ttccoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
rxn292,2.3.1.16,geneCsal2392,3-ketoacyl-CoA thiolase, aacoa + coa -> (2) accoa,Fatty acid metabolism,"51, 50, 33, 34, 28, 39",,,,
